original,translation
"Похоже, это не MP4 файл",Sepertinya ini bukan file MP4
Открыть как RomFS,Buka sebagai RomFS
\x1b[31;1mГ\x1b[37;1m,\x1b[31;1mГ\x1b[37;1m
\x1b[32;1mШ\x1b[37;1m,\x1b[32;1mШ\x1b[37;1m
Ваша SD карта является подделкой. Рекомендуется заменить SD карту на проверенную.,Kartu SD terdeteksi palsu. Disarankan menggantinya dengan kartu SD yang terverifikasi.
[{}] Персональный тикет для {},[{}] Ticket personal untuk {}
Кажется ваша SD карта является подделкой.\n\nВозможны проблемы с установкой игр.\nВ этом случае рекомендуется заменить SD карту на проверенную.,"Kartu SD sepertinya palsu.\n\nBisa muncul masalah saat memasang game.\nKalau begitu, disarankan menggantinya dengan kartu SD yang terverifikasi."
Информация о SD карте,Informasi kartu SD
[ПОДПИСЬ: DBI],[SIGNATURE: DBI]
.    Время игры    \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,.    Waktu main   \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
"ZL/ZR смена даты, Y период, X сортировка, (+) выбрать пользователя","ZL/ZR ganti tanggal, Y periode, X urutkan, (+) pilih pengguna"
[{}МБ] {}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,[{}MB] {}MB dari {}MB ({:.2f} MB/s)\x1b[0K\r
"X выбор, Y обратить выбор, (+) меню, R3 сортировка, L3 запуск","X pilih, Y balik pilihan, (+) menu, R3 urutkan, L3 jalankan"
Создать все известные ({}),Buat semua yang dikenal ({})
"X выбор, Y обратить выбор, (+) меню, L3 запуск","X pilih, Y balik pilihan, (+) menu, L3 jalankan"
"DPAD или стики для перемещения, (+) Настройки","DPAD atau stik untuk bergerak, (+) Pengaturan"
Просмотр HTTP/FTP/Github сервера...,Menjelajah server HTTP/FTP/Github...
"X выбор, Y обратить выбор, (+) меню, R3 сортировка","X pilih, Y balik pilihan, (+) menu, R3 urutkan"
"X выбор, Y обр. выбор, (+) меню","X pilih, Y balik pilihan, (+) menu"
"X выбор, Y обратить выбор, A открыть, (-) 2ая панель, (+) меню","X pilih, Y balik pilihan, A buka, (-) panel ke-2, (+) menu"
"X выбор, Y обр. выбор, ⬅/➡ смена панели, (-) закрыть, (+) меню","X pilih, Y batal pilih, ⬅/➡ ganti panel, (-) tutup, (+) menu"
[ДЕЛЬТА ФРАГМЕНТ НЕ НУЖЕН],[DELTA FRAGMENT TIDAK PERLU]
[КОНТЕНТ ОТСУТСТВУЕТ],[KONTEN HILANG]
[НЕ СОЗДАТЬ ПЛЕЙСХОЛДЕР],[JANGAN BUAT PLACEHOLDER]
[НЕДОСТАТОЧНО МЕСТА],[RUANG TIDAK CUKUP]
[НЕИЗВЕСТНОЕ СЖАТИЕ],[KOMPRESI TIDAK DIKENAL]
[ОТСУТСТВУЕТ],[HILANG]
[ОШБК],[ERROR]
[ОШИБКА NCA MAGIC],[ERROR MAGIC NCA]
[ОШИБКА ЗАПИСИ В ПЛЕЙСХОЛДЕР],[ERROR TULIS PLACEHOLDER]
[ОШИБКА РАСПАКОВКИ ZSTD: {}],[ERROR DEKOMPRESI ZSTD: {}]
[ОШИБКА РАСПАКОВКИ],[ERROR EKSTRAKSI]
[ОШИБКА],[ERROR]
[ОШИБКА] Отсутствует URL списка обновлений,[ERROR] URL daftar update tidak ada
[ПЕРЕДАЧА OK],[TRANSFER OK]
[ПЕРЕДАЧА ПРЕРВАНА],[TRANSFER TERPUTUS]
[ПОВРЕЖДЁННЫЙ NCA],[NCA RUSAK]
[ПОДПИСЬ: OK],[SIGNATURE: OK]
[ПОДПИСЬ: XCI➡NSP],[SIGNATURE: XCI➡NSP]
[ПОДПИСЬ: Поддельная],[SIGNATURE: Palsu]
[СТАРАЯ ПРОШИВКА],[FIRMWARE LAMA]
[ТРЕБУЕТСЯ РЕЖИМ ТАЙТЛА],[BUTUH MODE TITLE]
[ФАЙЛ ПОВРЕЖДЁН],[FILE RUSAK]
[ХЕШ ИСПРАВЛЕН],[HASH DIPERBAIKI]
[ХЕШ НЕ СОВПАДАЕТ],[HASH BEDA]
\nНачало обработки dlc {}: {:016X},\nMulai memproses DLC {}: {:016X}
\nНачало обработки программы {},\nMulai memproses aplikasi {}
\nНачало создания Data.nca,\nMulai membuat Data.nca
\nНачало создания Meta.nca,\nMulai membuat Meta.nca
\nОшибка USB обмена,\nError transfer USB
\nСборка PFS0,\nMembangun PFS0
\nСборка RomFS,\nMembangun RomFS
\nСекция 0,\nSeksi 0
\nСекция 1,\nSeksi 1
\nСекция 2,\nSeksi 2
\nСоздан NSP: {},\nNSP dibuat: {}
\nШифрование NCA,\nEnkripsi NCA
{:04d} {} {:02d}. Всего: {} час,{:04d} {} {:02d}. Total: {} jam
{:04d} {} {:02d}. Всего: {} часа,{:04d} {} {:02d}. Total: {} jam
{:04d} {} {:02d}. Всего: {} часов,{:04d} {} {:02d}. Total: {} jam
{:4d} {}. Всего: {} час,{:4d} {}. Total: {} jam
{:4d} {}. Всего: {} часа,{:4d} {}. Total: {} jam
{:4d} {}. Всего: {} часов,{:4d} {}. Total: {} jam
{:4d}. Всего: {} час,{:4d}. Total: {} jam
{:4d}. Всего: {} часа,{:4d}. Total: {} jam
{:4d}. Всего: {} часов,{:4d}. Total: {} jam
{:>3} {}{:<50}\x1b[37;1m {:>10},{:>3} {}{:<50}\x1b[37;1m {:>10}
{:>6} объектов обработано. {:>5} записей найдено...\r,{:>6} objek diproses. {:>5} entri ditemukan...\r
{:>6}/{}kB уже скачано...\r,{:>6}/{}kB sudah diunduh...\r
{} cохранение,{} save
{} cохранений,{} tersimpan
{} cохранения,{} data save
{} бекапа,{} backup
{} бекапов,{} backup
{} записей ({}),{} entri ({})
{} записи ({}),{} entri ({})
{} запись ({}),{} entri ({})
{} игр ({}),{} game ({})
{} игра ({}),{} game ({})
{} игры ({}),{} game ({})
{} сохранение,{} save
{} сохранений,{} save
{} сохранения,{} data save
{} тикет,{} ticket
{} тикета,{} ticket
{} тикетов,{} ticket
{}-{} FW:{}{} SDK:{},{}-{} FW:{}{} SDK:{}
"{}/{} MB (Ср: {:.1f} MB/sec, Тек: {:.1f} MB/sec) Ост. {:02d}:{:02d}      \r","{}/{} MB (Rata: {:.1f} MB/s, Kini: {:.1f} MB/s) Sisa {:02d}:{:02d}      \r"
"{}/{} МБ, {:.2f} МБ/сек","{}/{} MB, {:.2f} MB/s"
{}: {} потерянная запись,{}: {} entri terlantar
{}: {} потерянных записей,{}: {} entri hilang
{}: {} потерянных записи,{}: {} entri hilang
{}: {}/{} ({:.2f} МБ/сек),{}: {}/{} ({:.2f} MB/s)
{}: {}/{} ({}%) ({:.2f} МБ/сек),{}: {}/{} ({}%) ({:.2f} MB/s)
{}: пропускается {}/{} ({:.2f} МБ/сек),{}: melewati {}/{} ({:.2f} MB/s)
"{}\n\nВосстановление бекапа не удалось\n\nНажмите A - прервать, другая кнопка - продолжить","{}\n\nPemulihan backup gagal\n\nTekan A untuk batal, tombol lain untuk lanjut"
{}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,{}MB dari {}MB ({:.2f} MB/s)\x1b[0K\r
АВТО,AUTO
Аватар установлен,Avatar diatur
Август,Agustus
Австралия,Australia
Автозапуск MTP,Autostart MTP
Автозапуск списка homebrew,Daftar homebrew autostart
Агрументы для ярлыка,Argumen shortcut
Адрес FTP сервера: {},Alamat server FTP: {}
Адрес HTTP сервера: {},Alamat server HTTP: {}
Альбом (0°),Album (0°)
Американский английский,Inggris Amerika
Апрель,April
База этой игры не самодостаточна. Не забудьте установить обновление,Base game ini tidak berdiri sendiri. Jangan lupa pasang update-nya
Бекапы,Backup
Бекапы сохранений ({}),Backup data save ({})
Британский английский,Inggris Britania
В альбоме найден {} объект,{} objek ditemukan di album
В альбоме найдено {} объекта,Ditemukan {} objek di album
В альбоме найдено {} объектов,{} objek ditemukan di album
В альбоме отсутствуют объекты,Tidak ada objek di album
В файле /switch/prod.keys отсутствуют необходимые ключи.\n\nЧасть функций программы будет недоступна.\n\nПерегрузитесь в Hekate и используйте Lockpick_RCM.bin пейлоад\nдля дампа ключей из SysNAND.,Kunci yang dibutuhkan tidak ada di file /switch/prod.keys.\n\nSebagian fitur aplikasi tidak akan tersedia.\n\nReboot ke Hekate dan pakai payload Lockpick_RCM.bin\nuntuk mendump kunci dari SysNAND.
ВНИМАНИЕ! Тайтл {:016X} не установлен,PERINGATAN! Title {:016X} belum terpasang
ВНИМАНИЕ! Установленная версия ({}) не совпадает с желаемой ({}),PERINGATAN! Versi terpasang ({}) tidak cocok dengan yang diinginkan ({})
ВО ВРЕМЯ ПЕРЕДАЧИ ФАЙЛА НАЙДЕНЫ ОШИБКИ. УСТАНОВКА ПРЕРВАНА,DITEMUKAN ERROR SAAT TRANSFER FILE. PEMASANGAN DIBATALKAN
Введите URL сервера (HTTP или (S)FTP),Masukkan URL server (HTTP atau (S)FTP)
Введите агрументы для ярлыка или оставьте пустым,Masukkan argumen untuk shortcut atau biarkan kosong
Введите желаемый номер страницы,Masukkan nomor halaman
Введите новое имя,Masukkan nama baru
Введите новое имя каталога,Masukkan nama direktori baru
Введите новое имя файла,Masukkan nama file baru
Введите номер DLC,Masukkan nomor DLC
Версия {} [v{}],Versi {} [v{}]
Вместо пользователя {} использовать:,Pakai ganti pengguna {}:
Внимание!\nНекоторые файлы были заблокированы и поэтому пропущены.,Peringatan!\nSebagian file terkunci sehingga dilewati.
Во время разбора\n\n{}\n\nвозникла следующая ошибка:\n\n{},Saat membaca\n\n{}\n\nterjadi error berikut:\n\n{}
Во время установки тикетов были ошибки. Проверьте наличие ES сигпатчей,Terjadi error saat memasang ticket. Periksa sigpatch ES
Во время экспорта были ошибки,Terjadi error saat ekspor
Возраст батареи                : {},Umur baterai               : {}
Возрастной рейтинг,Rating usia
Восстановить,Pulihkan
Восстановить бекап...,Pulihkan backup...
Восстановить для...,Pulihkan untuk...
Восстановить как бекап сохранения,Pulihkan sebagai backup save
Восстановление бекапа,Memulihkan backup
Восстановление не удалось,Pemulihan gagal
Восстановление успешно,Pemulihan berhasil
Восстановление: {},Memulihkan: {}
Время игры: {:02}:{:02}:{:02},Waktu main: {:02}:{:02}:{:02}
Время передачи {:d}:{:02d}:{:02d},Waktu transfer {:d}:{:02d}:{:02d}
Все игровые сессии,Semua sesi game
Все игроки,Semua pemain
Все объекты,Semua objek
Все файлы в порядке,Semua file OK
Всего {} байт получен,{} byte diterima
Всего {} байт послан,{} byte terkirim
Всего {} байта получено,Total {} byte diterima
 Да, Ya
Всего {} байта послано,{} byte terkirim
Всего {} байтов получено,Total {} byte diterima
Всего {} байтов послано,{} byte terkirim
Всего записей: {},Total entri: {}
Всего отослано: {} ({}/сек),Total terkirim: {} ({}/s)
Всего программ: {},Total title: {}
Вставить,Tempel
Вставка...,Menempel...
Всё время. Всего: {} час,Sepanjang waktu. Total: {} jam
Всё время. Всего: {} часа,Sepanjang waktu. Total: {} jam
Всё время. Всего: {} часов,Sepanjang waktu. Total: {} jam
Вы собираетесь удалить следующие бекапы:,Backup berikut akan dihapus:
Вы собираетесь удалить следующие игры:,Game berikut akan dihapus:
Вы собираетесь удалить следующие сохранения:,Save berikut akan dihapus:
Вы собираетесь удалить следующие тикеты:,Ticket berikut akan dihapus:
Вы уверены в удалении {} записей?\n\n(+) - ДА   B - Отмена,Yakin ingin menghapus {} entri?\n\n(+) - YA   B - Batal
Вы уверены в удалении {} записи?\n\n(+) - ДА   B - Отмена,Yakin ingin menghapus {} entri?\n\n(+) - YA   B - Batal
Вы уверены в удалении {} объекта?\n\n(+) - ДА   B - Отмена,Yakin ingin menghapus {} objek?\n\n(+) - YA   B - Batal
Вы уверены в удалении {} объектов?\n\n(+) - ДА   B - Отмена,Yakin ingin menghapus {} objek?\n\n(+) - YA   B - Batal
"Вы уверены, что хотите удалить {}?\n\n(+) - ДА, другая кнопка - НЕТ","Yakin ingin menghapus {}?\n\n(+) - YA, tombol lain - TIDAK"
"Вы уверены, что хотите удалить\n{}?\n\n(+) - ДА  В - Отмена",Yakin ingin menghapus\n{}?\n\n(+) - YA  B - Batal
Выберите пользователя,Pilih pengguna
Выберите тип сохранения,Pilih tipe save
Выбрать все файлы игры,Pilih semua file game
Выбрать того же пользователя,Pilih pengguna yang sama
Выбрать ту же игру,Pilih game yang sama
Вырезать,Potong
Вычисление хэша,Menghitung hash
Вычисленное время конца : {},Waktu selesai terhitung : {}
Вычисленное время начала: {},Waktu mulai terhitung   : {}
Генерация DLC [{:016X}][v{}],Membuat DLC [{:016X}][v{}]
Генерация DLC анлокера...,Membuat unlocker DLC...
Генерируется анлокер для {:016X} с номером {} и версией {}...,Membuat unlocker untuk {:016X} dengan nomor {} dan versi {}...
Генерируется ярлык для пути '{}' и аргументов '{}'...,Membuat shortcut untuk path '{}' dan argumen '{}'...
Главное меню,Menu utama
Голландский,Belanda
"Да, я уверен","Ya, yakin"
Дамп анлокера в '{}'...,Mendump unlocker ke '{}'...
Дамп текущей прошивки,Dump firmware saat ini
Дамп ярлыка в '{}'...,Mendump shortcut ke '{}'...
Действия с файлами,Operasi file
Действия с файлами ({}),Aksi file ({})
Декабрь,Desember
День,Hari
Диаграмма активности,Grafik Aktivitas
Для бекапов,Untuk backup
Для выхода нажмите любую кнопку,Tekan tombol untuk keluar
Для дампов,Untuk dump
Для логов,Untuk log
Добавить в любимые,Tambah ke favorit
Европа,Eropa
"Есть несохранёные изменения.\nВы хотите их сохранить?\n\n(+) - Да, сохранить\n\n(-) - Выйти без сохранения\n\nДругая кнопка - Отмена","Ada perubahan yang belum disimpan.\nSimpan sekarang?\n\n(+) - Ya, simpan\n\n(-) - Keluar tanpa menyimpan\n\nTombol lain - Batal"
Желаемая версия: {},Versi yang diinginkan: {}
Журнал активности,Log Aktivitas
Завершено,Selesai
Загружается список обновлений...,Memuat daftar update...
Загрузка изображения...,Memuat gambar...
Загрузка текста...{}%,Memuat teks...{}%
Загрузка файла... {}%,Memuat file... {}%
Задать размер файла {} не удалось: {},Gagal mengatur ukuran file {}: {}
Закончено за {:02d}:{:02d}:{:02d},Selesai dalam {:02d}:{:02d}:{:02d}
Закончилась память при посылке ответа,Kehabisan memori saat mengirim respons
Закончились дополнительные буферы. Скорость записи на носитель слишком низка,Kehabisan buffer tambahan. Kecepatan tulis ke penyimpanan terlalu rendah
Закрытие соединения,Menutup koneksi
Закрытие соединения к {}:{},Menutup koneksi ke {}:{}
Запаковать LFS в romfs.bin,Kemas LFS jadi romfs.bin
Запаковать в romfs.bin,Kemas jadi romfs.bin
Запаковка папки в RomFS,Mengemas folder jadi RomFS
Записанное время конца  : {},Waktu selesai tercatat  : {}
Записанное время начала : {},Waktu mulai tercatat    : {}
Запись в файл...,Menulis ke file...
Запись за пределами файла,Menulis di luar file
Заполнение нулями,Mengisi dengan nol
Заполнить свободное место на SD нулями,Isi ruang kosong SD dengan nol
Запрет захвата видео,Larang rekam video
Запрет скриншотов,Larangan screenshot
Запрещено,Dilarang
Запускавшиеся игры,Game dimainkan
Запустить FTP сервер...,Jalankan server FTP...
Запустить HTTP сервер...,Menjalankan server HTTP...
Запустить МТР соединение,Mulai koneksi MTP
Запустить случайную игру,Jalankan game acak
Заряд батареи                  : {},Daya baterai                   : {}
Здесь пусто,Kosong
Игра анонсирует SDK {},Game menyatakan SDK {}
"Игра анонсирует более новый SDK ({}), чем текущая прошивка ({})",Game menyatakan SDK ({}) lebih baru dari firmware saat ini ({})
Игра использует titleId от дополнения,Game memakai titleId dari DLC
Игра использует titleId от обновления,Game memakai titleId dari update
Извлечь в LFS,Ekstrak ke LFS
Изменение размера сохранения на {} [{}]...,Mengubah ukuran save ke {} [{}]...
Изменить версию DLC (десятичную),Ubah versi DLC (desimal)
Изменить номер DLC (десятичный),Ubah nomor DLC (desimal)
Изменить номер DLC (шестнадцатеричный),Ubah nomor DLC (heksadesimal)
Изменён размер SaveFS,Ukuran SaveFS diubah
Импорт исправленного тикета...,Mengimpor ticket diperbaiki...
Импорт тикета...,Mengimpor ticket...
"Имя каталога\n'{}'\nсодержит недопустимые символы.\nОн не может быть создан.\n\nНажмите A - прервать, B - пропустить, X - переименовать","Nama direktori\n'{}'\nmengandung karakter tidak valid.\nTidak bisa dibuat.\n\nTekan A - batal, B - lewati, X - ganti nama"
"Имя файла\n'{}'\nсодержит недопустимые символы.\nОн не может быть создан.\n\nНажмите A - прервать, B - пропустить, X - переименовать","Nama file\n'{}'\nmengandung karakter tidak valid.\nTidak bisa dibuat.\n\nTekan A - batal, B - lewati, X - ganti nama"
Инсталлируется romfs.bin,Memasang romfs.bin
Информация о зарядке батареи,Informasi pengisian baterai
Информация о контенте,Informasi konten
Информация о контенте ({}),Informasi konten ({})
Информация о прошивке,Informasi firmware
Информация о системе,Informasi sistem
Информация о сохранении,Informasi data save
Информация о сохранении...,Informasi data save...
Информация о тикете,Informasi ticket
Информация о тикете...,Informasi ticket...
