original,translation
Удаляется запись о контенте...,Inhoudsrecord verwijderen...
Удаляется запись об игре...,Spelrecord verwijderen...
Удаляется игра и весь связанный контент,Spel en alle gerelateerde inhoud verwijderen
Titlekey не может быть инициализирован,Titlekey kan niet worden geïnitialiseerd
Удаляется папка LFS...,LFS-map verwijderen...
Удаляется пустая папка,Lege map verwijderen
Удаляется сохранение {}...,Opslaggegevens {} verwijderen...
Удаляется старая запись о контенте...,Oud inhoudsrecord verwijderen...
Удаляется старый cnmt.nca...,Oude cnmt.nca verwijderen...
Удаляется тикет: {}...,Ticket verwijderen: {}...
Удаляются все объекты из альбома для игры,Alle items uit het spelalbum verwijderen
Удаляются все сохранения для игры,Alle opslaggegevens voor het spel verwijderen
Удаляются сохранения...,Opslaggegevens verwijderen...
"UID: {}, Ник: {}","UID: {}, Bijnaam: {}"
Удалённые,Verwijderd
Удачный экспорт,Succesvolle export
Уделение старого тикета...,Oud ticket verwijderen...
Упаковка каталога в RomFS,Map inpakken in RomFS
Упрощенный китайский,Vereenvoudigd Chinees
Успешно разобран как PFS0 файл,Succesvol geparseerd als PFS0-bestand
Устанавливается {},Installeren {}
Установить как аватар...,Instellen als avatar...
Установка,Installatie
Установка анлокера...,Unlocker installeren...
Установка завершена,Installatie voltooid
Установка игр (NAND),Games installeren (NAND)
Установка игр (SD Card),Games installeren (SD-kaart)
Установка игры завершена,Installatie van de game voltooid
Установка обновлений игр,Game-updates installeren
Установка прервана,Installatie onderbroken
Установка тайтлов ({}/{}),Titels installeren ({}/{})
USB Соединение,USB-verbinding
Установка ярлыка...,Snelkoppeling installeren...
Установлен,Geïnstalleerd
Установленные,Geïnstalleerd
Установленные homebrew,Geïnstalleerde homebrew
Установленные homebrew ({}),Geïnstalleerde homebrew ({})
Установленные игры,Geïnstalleerde games
Установленные тикеты,Geïnstalleerde tickets
Установленные тикеты ({}),Geïnstalleerde tickets ({})
Файл повреждён и не может быть установлен. Не найдена сигнатура HEAD,Bestand is beschadigd en kan niet worden geïnstalleerd. HEAD-handtekening niet gevonden
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе root,Bestand is beschadigd en kan niet worden geïnstalleerd. HFS0-handtekening niet gevonden in root-partitie
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе secure,Bestand is beschadigd en kan niet worden geïnstalleerd. HFS0-handtekening niet gevonden in secure-partitie
Файл повреждён и не может быть установлен. Не найдена сигнатура PFS0,Bestand is beschadigd en kan niet worden geïnstalleerd. PFS0-handtekening niet gevonden
Файл слишком большой для хранилища,Bestand is te groot voor opslag
Файл: {},Bestand: {}
Фиксация ФС...,Bestandssysteem commit...
Финальный размер: {},Definitieve grootte: {}
Формирование списка...,Lijst genereren...
Форсированный язык    : {},Geforceerde taal           : {}
Форсированный язык    : {} ({}),Geforceerde taal           : {} ({})
Форсировать язык,Forceer taal
Французский,Frans
"Х:{}, Т:{}, РЦ:{}","H:{}, T:{}, R:{}"
Хранилища MTP,MTP-opslag
Хранилище только для чтения,Alleen-lezen opslag
Целевая запись о контенте не найдена,Doelinhoudrecord niet gevonden
ЧАСТЬ КОНТЕНТА ОТСУТСТВУЕТ. ИГРА НЕ БУДЕТ РАБОТАТЬ,EEN DEEL VAN DE INHOUD ONTBREEKT. HET SPEL ZAL NIET WERKEN
Число транзисторов: {:>3},Aantal transistoren: {:>3}
Число уникальных сыграных игр : {},Aantal unieke gespeelde spellen  : {}
Число ходов:        {:>3},Aantal zetten:          {:>3}
Чтение каталога...,Map lezen...
Чтение списка файлов...,Bestandslijst lezen...
Что-то плохое грядёт,Er komt iets ergs aan
Что-то пошло не так. Пропускаем оставшийся файл,Er is iets misgegaan. Het resterende bestand wordt overgeslagen
"Чтобы вернуться, нажмите B",Druk op B om terug te keren
Шадок у Гиби,Shadok bij Gibi
Экспорт SDK,SDK-export
Экспортировать,Exporteren
Экспортировать SDK,SDK exporteren
Январь,Januari
Японский,Japans
Ярлык для DBI,Snelkoppeling voor DBI
да,ja
не является LFS папкой,is geen LFS-map
не является LFS папкой игры,is geen game LFS-map
нет,nee
"ZL/ZR - смена даты, Y - период","ZL/ZR - datum wijzigen, Y - periode"
"Получено: {}, (скорость не определена)","Ontvangen: {}, (snelheid niet gedefinieerd)"
Игры добавлены в список исключений,Games toegevoegd aan uitsluitingslijst
Новых игр в список исключений добавлено не было,Er zijn geen nieuwe games toegevoegd aan de uitsluitingslijst
Просмотр МТР устройства [{}],MTP-apparaat bekijken [{}]
Просмотр USB диска [{}],USB-schijf bekijken [{}]
Заряд батареи (сырое значение) : {},Batterijlading (ruwe waarde) : {}
ru,nl
[CRC ОШИБКА ФАЙЛА],[BESTANDS-CRC-FOUT]
Будет скачана и установлена прошивка системы из файла {}.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены,Systeemfirmware wordt gedownload en geïnstalleerd vanuit bestand {}.\n\nDruk op (+) om door te gaan\nElke andere knop om te annuleren
Распаковка архива не удалась,Uitpakken van archief mislukt
Сканирование архива не удалось,Scannen van archief mislukt
Установить все обновления из этой папки,Alle updates uit deze map installeren
Япония,Japan
Русский,Russisch
Февраль,Februari
Октябрь,Oktober
[HASH MISMATCH: GC ➡ eShop],[HASH MISMATCH: GC ➡ eShop]
Ноябрь,November
Игрок,Speler
Время,Tijd
Контент,Inhoud
[HASH: OK],[HASH: OK]
Красная,Rode
[HASH MISMATCH: Неисправимо],[HASH-MISMATCH: Onherstelbaar]
[ПРЕД],[VORIG]
Альбом,Album
Выход,Afsluiten
и т.д...,enz...
{} бекап,{} back-up
874,874
Пишется тело: {}/{}MB \r,Body schrijven: {}/{}MB \r
Пишется скриншот\n,Screenshot schrijven\n
Пишется таблица хешей\n,Hashtabel schrijven\n
Пишется подпись видео\n,Videosignatuur schrijven\n
Операция завершена\n,Bewerking voltooid\n
"Будет скачана и установлена прошивка системы из файла {}.\n\nВНИМАНИЕ!!! Похоже, эта версия не поддерживается текущей атмосферой.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены",Systeemfirmware wordt gedownload en geïnstalleerd vanuit bestand {}.\n\nWAARSCHUWING!!! Het lijkt erop dat deze versie niet wordt ondersteund door de huidige Atmosphere.\n\nDruk op (+) om door te gaan\nDruk op een andere knop om te annuleren
Копирование файла не удалось,Kopiëren van bestand mislukt
Daybreak.nro не найден,Daybreak.nro niet gevonden
Изображение добавлено в альбом,Afbeelding toegevoegd aan album
Ошибка добавления изобржения в альбом: {},Fout bij het toevoegen van afbeelding aan album: {}
Добавить в альбом,Toevoegen aan album
Анализ mp4 файла,mp4-bestand analyseren
Длительность: {},Duur: {}
ОШИБКА! Файл не содержит один видео трек,FOUT! Het bestand bevat niet één videotrack
ОШИБКА! Файл не содержит один аудио трек,FOUT! Het bestand bevat niet één audiotrack
ОШИБКА! У видео трека неподдерживаемый кодек,FOUT! De videotrack heeft een niet-ondersteunde codec
ОШИБКА! У аудио трека неподдерживаемый кодек,FOUT! Audiotrack heeft een niet-ondersteunde codec
ОШИБКА! Аудио трек не стерео,FOUT! Audiotrack is niet stereo
[{}] Общий тикет для {},[{}] Algemeen ticket voor {}
ОШИБКА! У аудио трека неподходящая частота дискретизации,FOUT! Audiotrack heeft een ongeschikte samplefrequentie
ОШИБКА! У видео трека неподходящая ширина,FOUT! Videotrack heeft een ongeschikte breedte
ОШИБКА! У видео трека неподходящая высота,FOUT! Videotrack heeft een ongeschikte hoogte
ВНИМАНИЕ! Возможно видео поток содержит B-Frames. Файл может не воспроизводиться,WAARSCHUWING! Videostream bevat mogelijk B-frames. Bestand wordt mogelijk niet afgespeeld
"Похоже, это не MP4 файл",Het lijkt erop dat dit geen MP4-bestand is
Открыть как RomFS,Openen als RomFS
\x1b[31;1mГ\x1b[37;1m,\x1b[31;1mГ\x1b[37;1m
\x1b[32;1mШ\x1b[37;1m,\x1b[32;1mШ\x1b[37;1m
Ваша SD карта является подделкой. Рекомендуется заменить SD карту на проверенную.,Uw SD-kaart is vervalst. Het wordt aanbevolen om de SD-kaart te vervangen door een geverifieerde kaart.
[{}] Персональный тикет для {},[{}] Persoonlijk ticket voor {}
Кажется ваша SD карта является подделкой.\n\nВозможны проблемы с установкой игр.\nВ этом случае рекомендуется заменить SD карту на проверенную.,Uw SD-kaart lijkt vervalst te zijn.\n\nEr kunnen problemen optreden bij het installeren van games.\nIn dit geval wordt aanbevolen de SD-kaart te vervangen door een geverifieerde kaart.
Информация о SD карте,SD-kaartinformatie
[ПОДПИСЬ: DBI],[HANDTEKENING: DBI]
.    Время игры    \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,.    Speeltijd    \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
"ZL/ZR смена даты, Y период, X сортировка, (+) выбрать пользователя","ZL/ZR datum wijzigen, Y periode, X sortering, (+) gebruiker selecteren"
[{}МБ] {}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,[{}MB] {}MB van {}MB ({:.2f} MB/sec)\x1b[0K\r
"X выбор, Y обратить выбор, (+) меню, R3 сортировка, L3 запуск","X selecteren, Y selectie omkeren, (+) menu, R3 sorteren, L3 starten"
Создать все известные ({}),Alle bekende aanmaken ({})
"X выбор, Y обратить выбор, (+) меню, L3 запуск","X selecteren, Y selectie omkeren, (+) menu, L3 starten"
"DPAD или стики для перемещения, (+) Настройки","DPAD of sticks om te bewegen, (+) Instellingen"
Просмотр HTTP/FTP/Github сервера...,HTTP/FTP/Github-server doorzoeken...
"X выбор, Y обратить выбор, (+) меню, R3 сортировка","X selecteren, Y selectie omkeren, (+) menu, R3 sorteren"
"X выбор, Y обр. выбор, (+) меню","X selecteren, Y selectie omkeren, (+) menu"
"X выбор, Y обратить выбор, A открыть, (-) 2ая панель, (+) меню","X selecteren, Y selectie omkeren, A openen, (-) 2e paneel, (+) menu"
"X выбор, Y обр. выбор, ⬅/➡ смена панели, (-) закрыть, (+) меню","X selecteren, Y deselecteren, ⬅/➡ paneel wisselen, (-) sluiten, (+) menu"
[ДЕЛЬТА ФРАГМЕНТ НЕ НУЖЕН],[DELTA FRAGMENT NIET NODIG]
[КОНТЕНТ ОТСУТСТВУЕТ],[INHOUD ONTBREEKT]
[НЕ СОЗДАТЬ ПЛЕЙСХОЛДЕР],[GEEN TIJDELIJKE AANDUIDING MAKEN]
[НЕДОСТАТОЧНО МЕСТА],[ONVOLDOENDE RUIMTE]
[НЕИЗВЕСТНОЕ СЖАТИЕ],[ONBEKENDE COMPRESSIE]
[ОТСУТСТВУЕТ],[ONTBREEKT]
[ОШБК],[FOUT]
[ОШИБКА NCA MAGIC],[NCA MAGIC FOUT]
[ОШИБКА ЗАПИСИ В ПЛЕЙСХОЛДЕР],[FOUT BIJ SCHRIJVEN NAAR TIJDELIJKE AANDUIDING]
[ОШИБКА РАСПАКОВКИ ZSTD: {}],[ZSTD-DECOMPRESSIEFOUT: {}]
[ОШИБКА РАСПАКОВКИ],[UITPAKFOUT]
[ОШИБКА],[FOUT]
[ОШИБКА] Отсутствует URL списка обновлений,[FOUT] Update lijst URL ontbreekt
[ПЕРЕДАЧА OK],[OVERDRACHT OK]
[ПЕРЕДАЧА ПРЕРВАНА],[OVERDRACHT ONDERBROKEN]
[ПОВРЕЖДЁННЫЙ NCA],[BESCHADIGDE NCA]
[ПОДПИСЬ: OK],[HANDTEKENING: OK]
[ПОДПИСЬ: XCI➡NSP],[HANDTEKENING: XCI➡NSP]
[ПОДПИСЬ: Поддельная],[HANDTEKENING: Vals]
[СТАРАЯ ПРОШИВКА],[OUDE FIRMWARE]
[ТРЕБУЕТСЯ РЕЖИМ ТАЙТЛА],[TITELMODUS VEREIST]
[ФАЙЛ ПОВРЕЖДЁН],[BESTAND BESCHADIGD]
[ХЕШ ИСПРАВЛЕН],[HASH HERSTELD]
[ХЕШ НЕ СОВПАДАЕТ],[HASH KOMT NIET OVEREEN]
\nНачало обработки dlc {}: {:016X},\nStart DLC-verwerking {}: {:016X}
\nНачало обработки программы {},\nVerwerking van applicatie {} gestart
\nНачало создания Data.nca,\nStart van Data.nca aanmaak
\nНачало создания Meta.nca,\nMeta.nca aanmaken gestart
\nОшибка USB обмена,\nUSB-overdrachts fout
\nСборка PFS0,\nPFS0 bouwen
\nСборка RomFS,\nRomFS bouwen
\nСекция 0,\nSectie 0
\nСекция 1,\nSectie 1
\nСекция 2,\nSectie 2
\nСоздан NSP: {},\nNSP aangemaakt: {}
\nШифрование NCA,\nNCA-versleuteling
{:04d} {} {:02d}. Всего: {} час,{:04d} {} {:02d}. Totaal: {} uur
{:04d} {} {:02d}. Всего: {} часа,{:04d} {} {:02d}. Totaal: {} uur
{:04d} {} {:02d}. Всего: {} часов,{:04d} {} {:02d}. Totaal: {} uur
{:4d} {}. Всего: {} час,{:4d} {}. Totaal: {} uur
{:4d} {}. Всего: {} часа,{:4d} {}. Totaal: {} uur
{:4d} {}. Всего: {} часов,{:4d} {}. Totaal: {} uur
{:4d}. Всего: {} час,{:4d}. Totaal: {} uur
{:4d}. Всего: {} часа,{:4d}. Totaal: {} uur
{:4d}. Всего: {} часов,{:4d}. Totaal: {} uur
{:>3} {}{:<50}\x1b[37;1m {:>10},{:>3} {}{:<50}\x1b[37;1m {:>10}
{:>6} объектов обработано. {:>5} записей найдено...\r,{:>6} objecten verwerkt. {:>5} items gevonden...\r
{:>6}/{}kB уже скачано...\r,{:>6}/{}kB al gedownload...\r
{} cохранение,{} opslag
{} cохранений,{} opgeslagen
{} cохранения,{} opslaggegevens
{} бекапа,{} back-up
{} бекапов,{} back-ups
{} записей ({}),{} items ({})
{} записи ({}),{} items ({})
{} запись ({}),{} item ({})
{} игр ({}),{} spellen ({})
{} игра ({}),{} game ({})
{} игры ({}),{} spellen ({})
{} сохранение,{} opslag
{} сохранений,{} opgeslagen bestanden
{} сохранения,{} opslaggegevens
{} тикет,{} ticket
{} тикета,{} tickets
{} тикетов,{} tickets
{}-{} FW:{}{} SDK:{},{}-{} FW:{}{} SDK:{}
"{}/{} MB (Ср: {:.1f} MB/sec, Тек: {:.1f} MB/sec) Ост. {:02d}:{:02d}      \r","{}/{} MB (Gem: {:.1f} MB/s, Huid: {:.1f} MB/s) Rest. {:02d}:{:02d}      \r"
"{}/{} МБ, {:.2f} МБ/сек","{}/{} MB, {:.2f} MB/sec"
{}: {} потерянная запись,{}: {} weesitem
{}: {} потерянных записей,{}: {} verloren items
{}: {} потерянных записи,{}: {} verloren items
{}: {}/{} ({:.2f} МБ/сек),{}: {}/{} ({:.2f} MB/sec)
{}: {}/{} ({}%) ({:.2f} МБ/сек),{}: {}/{} ({}%) ({:.2f} MB/s)
{}: пропускается {}/{} ({:.2f} МБ/сек),{}: overslaan {}/{} ({:.2f} MB/sec)
"{}\n\nВосстановление бекапа не удалось\n\nНажмите A - прервать, другая кнопка - продолжить","{}\n\nBack-up herstellen mislukt\n\nDruk op A om af te breken, andere knop om door te gaan"
{}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,{}MB van {}MB ({:.2f} MB/sec)\x1b[0K\r
АВТО,AUTO
Аватар установлен,Avatar ingesteld
Август,Augustus
Австралия,Australië
Автозапуск MTP,MTP automatisch starten
Автозапуск списка homebrew,Autostart homebrew-lijst
Агрументы для ярлыка,Snelkoppeling argumenten
Адрес FTP сервера: {},FTP-serveradres: {}
Адрес HTTP сервера: {},HTTP-serveradres: {}
Альбом (0°),Album (0°)
Американский английский,Amerikaans Engels
Апрель,April
База этой игры не самодостаточна. Не забудьте установить обновление,De basis van dit spel is niet zelfvoorzienend. Vergeet niet de update te installeren
Бекапы,Back-ups
Бекапы сохранений ({}),Back-ups van opslaggegevens ({})
Британский английский,Brits Engels
В альбоме найден {} объект,{} object gevonden in album
В альбоме найдено {} объекта,{} objecten gevonden in album
В альбоме найдено {} объектов,{} objecten gevonden in album
В альбоме отсутствуют объекты,Geen objecten in album
В файле /switch/prod.keys отсутствуют необходимые ключи.\n\nЧасть функций программы будет недоступна.\n\nПерегрузитесь в Hekate и используйте Lockpick_RCM.bin пейлоад\nдля дампа ключей из SysNAND.,Vereiste sleutels ontbreken in het bestand /switch/prod.keys.\n\nSommige functies van de applicatie zullen niet beschikbaar zijn.\n\nHerstart naar Hekate en gebruik de Lockpick_RCM.bin payload\nom sleutels uit SysNAND te dumpen.
ВНИМАНИЕ! Тайтл {:016X} не установлен,WAARSCHUWING! Titel {:016X} is niet geïnstalleerd
ВНИМАНИЕ! Установленная версия ({}) не совпадает с желаемой ({}),WAARSCHUWING! De geïnstalleerde versie ({}) komt niet overeen met de gewenste ({})
ВО ВРЕМЯ ПЕРЕДАЧИ ФАЙЛА НАЙДЕНЫ ОШИБКИ. УСТАНОВКА ПРЕРВАНА,FOUTEN GEVONDEN TIJDENS BESTANDSOVERDRACHT. INSTALLATIE AFGEBROKEN
Введите URL сервера (HTTP или (S)FTP),Voer server-URL in (HTTP of (S)FTP)
Введите агрументы для ярлыка или оставьте пустым,Voer argumenten in voor de snelkoppeling of laat leeg
Введите желаемый номер страницы,Voer gewenst paginanummer in
Введите новое имя,Voer nieuwe naam in
Введите новое имя каталога,Voer nieuwe mapnaam in
Введите новое имя файла,Voer nieuwe bestandsnaam in
Введите номер DLC,Voer DLC-nummer in
Версия {} [v{}],Versie {} [v{}]
Вместо пользователя {} использовать:,Gebruiken in plaats van gebruiker {}:
Внимание!\nНекоторые файлы были заблокированы и поэтому пропущены.,Waarschuwing!\nSommige bestanden waren vergrendeld en daarom overgeslagen.
Во время разбора\n\n{}\n\nвозникла следующая ошибка:\n\n{},Tijdens het parseren van\n\n{}\n\nis de volgende fout opgetreden:\n\n{}
Во время установки тикетов были ошибки. Проверьте наличие ES сигпатчей,Er zijn fouten opgetreden tijdens het installeren van tickets. Controleer op ES sigpatches
Во время экспорта были ошибки,Er zijn fouten opgetreden tijdens het exporteren
Возраст батареи                : {},Batterijleeftijd                   : {}
Возрастной рейтинг,Leeftijdsclassificatie
Восстановить,Herstellen
Восстановить бекап...,Back-up herstellen...
Восстановить для...,Herstellen voor...
Восстановить как бекап сохранения,Herstellen als save-backup
Восстановление бекапа,Back-up herstellen
Восстановление не удалось,Herstel mislukt
Восстановление успешно,Herstel geslaagd
Восстановление: {},Herstellen: {}
Время игры: {:02}:{:02}:{:02},Speeltijd: {:02}:{:02}:{:02}
Время передачи {:d}:{:02d}:{:02d},Overdrachtstijd {:d}:{:02d}:{:02d}
Все игровые сессии,Alle spelsessies
Все игроки,Alle spelers
Все объекты,Alle objecten
Все файлы в порядке,Alle bestanden zijn OK
Всего {} байт получен,{} bytes ontvangen
Всего {} байт послан,{} bytes verzonden
Всего {} байта получено,{} bytes in totaal ontvangen
 Да, Ja
Всего {} байта послано,{} bytes verzonden
Всего {} байтов получено,{} bytes in totaal ontvangen
Всего {} байтов послано,{} bytes verzonden
Всего записей: {},Totaal aantal items: {}
Всего отослано: {} ({}/сек),Totaal verzonden: {} ({}/sec)
Всего программ: {},Totaal titels: {}
Вставить,Invoegen
Вставка...,Invoegen...
Всё время. Всего: {} час,Alle tijd. Totaal: {} uur
Всё время. Всего: {} часа,Alle tijd. Totaal: {} uur
Всё время. Всего: {} часов,Alle tijd. Totaal: {} uur
Вы собираетесь удалить следующие бекапы:,U staat op het punt de volgende back-ups te verwijderen:
Вы собираетесь удалить следующие игры:,U staat op het punt de volgende games te verwijderen:
Вы собираетесь удалить следующие сохранения:,U staat op het punt de volgende opgeslagen bestanden te verwijderen:
Вы собираетесь удалить следующие тикеты:,U staat op het punt de volgende tickets te verwijderen:
Вы уверены в удалении {} записей?\n\n(+) - ДА   B - Отмена,Weet u zeker dat u {} items wilt verwijderen?\n\n(+) - JA   B - Annuleren
Вы уверены в удалении {} записи?\n\n(+) - ДА   B - Отмена,Weet u zeker dat u {} item wilt verwijderen?\n\n(+) - JA   B - Annuleren
Вы уверены в удалении {} объекта?\n\n(+) - ДА   B - Отмена,Weet u zeker dat u {} object wilt verwijderen?\n\n(+) - JA   B - Annuleren
Вы уверены в удалении {} объектов?\n\n(+) - ДА   B - Отмена,Weet u zeker dat u {} objecten wilt verwijderen?\n\n(+) - JA   B - Annuleren
"Вы уверены, что хотите удалить {}?\n\n(+) - ДА, другая кнопка - НЕТ","Weet u zeker dat u {} wilt verwijderen?\n\n(+) - JA, andere knop - NEE"
"Вы уверены, что хотите удалить\n{}?\n\n(+) - ДА  В - Отмена",Weet u zeker dat u wilt verwijderen\n{}?\n\n(+) - JA  B - Annuleren
Выберите пользователя,Gebruiker selecteren
Выберите тип сохранения,Selecteer opslagtype
Выбрать все файлы игры,Alle spelbestanden selecteren
Выбрать того же пользователя,Dezelfde gebruiker selecteren
Выбрать ту же игру,Hetzelfde spel selecteren
Вырезать,Knippen
Вычисление хэша,Hash berekenen
Вычисленное время конца : {},Berekende eindtijd : {}
Вычисленное время начала: {},Berekende starttijd: {}
Генерация DLC [{:016X}][v{}],DLC genereren [{:016X}][v{}]
Генерация DLC анлокера...,DLC-unlocker genereren...
Генерируется анлокер для {:016X} с номером {} и версией {}...,Unlocker wordt gegenereerd voor {:016X} met nummer {} en versie {}...
Генерируется ярлык для пути '{}' и аргументов '{}'...,Snelkoppeling maken voor pad '{}' en argumenten '{}'...
Главное меню,Hoofdmenu
Голландский,Nederlands
"Да, я уверен","Ja, ik weet het zeker"
Дамп анлокера в '{}'...,Unlocker dumpen naar '{}'...
Дамп текущей прошивки,Dump huidige firmware
Дамп ярлыка в '{}'...,Snelkoppeling dumpen naar '{}'...
Действия с файлами,Bestandsbewerkingen
Действия с файлами ({}),Bestandsacties ({})
Декабрь,December
День,Dag
Диаграмма активности,Activiteitsgrafiek
Для бекапов,Voor back-ups
Для выхода нажмите любую кнопку,Druk op een willekeurige knop om af te sluiten
Для дампов,Voor dumps
Для логов,Voor logs
Добавить в любимые,Toevoegen aan favorieten
Европа,Europa
"Есть несохранёные изменения.\nВы хотите их сохранить?\n\n(+) - Да, сохранить\n\n(-) - Выйти без сохранения\n\nДругая кнопка - Отмена","Er zijn niet-opgeslagen wijzigingen.\nWilt u deze opslaan?\n\n(+) - Ja, opslaan\n\n(-) - Afsluiten zonder opslaan\n\nAndere knop - Annuleren"
Желаемая версия: {},Gewenste versie: {}
Журнал активности,Activiteitenlogboek
Завершено,Voltooid
Загружается список обновлений...,Updatelijst laden...
Загрузка изображения...,Afbeelding laden...
Загрузка текста...{}%,Tekst laden...{}%
Загрузка файла... {}%,Bestand laden... {}%
Задать размер файла {} не удалось: {},Bestandsgrootte {} instellen mislukt: {}
Закончено за {:02d}:{:02d}:{:02d},Voltooid in {:02d}:{:02d}:{:02d}
Закончилась память при посылке ответа,Onvoldoende geheugen bij verzenden van antwoord
Закончились дополнительные буферы. Скорость записи на носитель слишком низка,Extra buffers uitgeput. Schrijfsnelheid naar opslagmedium te laag
Закрытие соединения,Verbinding sluiten
Закрытие соединения к {}:{},Verbinding met {}:{} wordt gesloten
Запаковать LFS в romfs.bin,Pak LFS in romfs.bin
Запаковать в romfs.bin,Inpakken in romfs.bin
Запаковка папки в RomFS,Map inpakken in RomFS
Записанное время конца  : {},Opgenomen eindtijd  : {}
Записанное время начала : {},Opgenomen starttijd : {}
Запись в файл...,Schrijven naar bestand...
Запись за пределами файла,Schrijven buiten bestand
Заполнение нулями,Opvullen met nullen
Заполнить свободное место на SD нулями,Vrije ruimte op SD vullen met nullen
Запрет захвата видео,Video-opname verbieden
Запрет скриншотов,Schermafbeeldingen verboden
Запрещено,Verboden
Запускавшиеся игры,Gestarte spellen
Запустить FTP сервер...,FTP-server starten...
Запустить HTTP сервер...,HTTP-server starten...
Запустить МТР соединение,Start MTP-verbinding
Запустить случайную игру,Willekeurig spel starten
Заряд батареи                  : {},Batterijlading                 : {}
Здесь пусто,Hier is niets
