original,translation
Удаление игры целиком: [{}],Pilnīga spēles dzēšana: [{}]
Удаление каталога LFS,LFS direktorija dzēšana
Удаление контента,Satura dzēšana
Удаление настроек родительского контроля...,Vecāku kontroles iestatījumu dzēšana...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,"Dzēšana neizdevās.\n\nNospiediet jebkuru pogu, lai turpinātu"
Удаление неиспользуемого {}...,Neizmantotā {} dzēšana...
Удаление плейсхолдера...,Viettura dzēšana...
Удаление пользователя,Lietotāja dzēšana
Удаление пользователя...,Lietotāja dzēšana...
Удаление ранее установленных файлов...,Iepriekš instalēto failu dzēšana...
Удаление родительского контроля,Vecāku kontroles dzēšana
SaveFS очищена,SaveFS notīrīta
Удаление связи с Nintendo account...,Nintendo konta piesaistes dzēšana...
Удаление сохранений,Saglabāto datu dzēšana
Удаление сохранения целиком,Pilna saglabāto datu dzēšana
Удаление старого     {}...,Dzēš veco     {}...
Удаление старого файла {}...,Vecā faila {} dzēšana...
Удаление старой записи об игре...,Vecā spēles ieraksta dzēšana...
Удаление старой папки {}...,Vecās mapes {} dzēšana...
Удаление тайтла: [{}],Virsraksta dzēšana: [{}]
Удаление тикетов ({}),Biļešu dzēšana ({})
Удаление...,Dzēšana...
Удалить,Dzēst
Удалить LFS,Dzēst LFS
Удалить сохранения,Dzēst saglabātos datus
Удалить старые бекапы,Dzēst vecās rezerves kopijas
Удаляется {} из {}...,Dzēš {} no {}...
Удаляется {}...,Dzēš {}...
Удаляется запись о контенте...,Satura ieraksta dzēšana...
Удаляется запись об игре...,Spēles ieraksta dzēšana...
Удаляется игра и весь связанный контент,Spēles un visa saistītā satura dzēšana
Titlekey не может быть инициализирован,Titlekey nevar inicializēt
Удаляется папка LFS...,LFS mapes dzēšana...
Удаляется пустая папка,Tukšas mapes dzēšana
Удаляется сохранение {}...,Saglabāto datu {} dzēšana...
Удаляется старая запись о контенте...,Vecā satura ieraksta dzēšana...
Удаляется старый cnmt.nca...,Vecā cnmt.nca dzēšana...
Удаляется тикет: {}...,Biļetes dzēšana: {}...
Удаляются все объекты из альбома для игры,Visu vienumu dzēšana no spēles albuma
Удаляются все сохранения для игры,Visu spēles saglabāto datu dzēšana
Удаляются сохранения...,Dzēš saglabātos datus...
"UID: {}, Ник: {}","UID: {}, Segvārds: {}"
Удалённые,Dzēsts
Удачный экспорт,Veiksmīgs eksports
Уделение старого тикета...,Dzēš veco biļeti...
Упаковка каталога в RomFS,Direktorijas iepakošana RomFS
Упрощенный китайский,Vienkāršotā ķīniešu valoda
Успешно разобран как PFS0 файл,Veiksmīgi parsēts kā PFS0 fails
Устанавливается {},Instalē {}
Установить как аватар...,Iestatīt kā avataru...
Установка,Instalēšana
Установка анлокера...,Instalē unlocker...
Установка завершена,Instalēšana pabeigta
Установка игр (NAND),Spēļu instalēšana (NAND)
Установка игр (SD Card),Spēļu instalēšana (SD karte)
Установка игры завершена,Spēles instalēšana pabeigta
Установка обновлений игр,Instalēt spēļu atjauninājumus
Установка прервана,Instalēšana pārtraukta
Установка тайтлов ({}/{}),Nosaukumu instalēšana ({}/{})
USB Соединение,USB savienojums
Установка ярлыка...,Instalē saīsni...
Установлен,Instalēts
Установленные,Instalēts
Установленные homebrew,Instalētās homebrew
Установленные homebrew ({}),Instalētās homebrew ({})
Установленные игры,Instalētās spēles
Установленные тикеты,Instalētās biļetes
Установленные тикеты ({}),Instalētās biļetes ({})
Файл повреждён и не может быть установлен. Не найдена сигнатура HEAD,Fails ir bojāts un to nevar instalēt. HEAD paraksts nav atrasts
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе root,Fails ir bojāts un to nevar instalēt. HFS0 paraksts nav atrasts root nodalījumā
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе secure,Fails ir bojāts un to nevar instalēt. HFS0 paraksts nav atrasts secure nodalījumā
Файл повреждён и не может быть установлен. Не найдена сигнатура PFS0,Fails ir bojāts un to nevar instalēt. PFS0 paraksts nav atrasts
Файл слишком большой для хранилища,Fails ir pārāk liels krātuvei
Файл: {},Fails: {}
Фиксация ФС...,FS apstiprināšana...
Финальный размер: {},Galīgais izmērs: {}
Формирование списка...,Tiek ģenerēts saraksts...
Форсированный язык    : {},Piespiedu valoda         : {}
Форсированный язык    : {} ({}),Piespiedu valoda         : {} ({})
Форсировать язык,Uzspiest valodu
Французский,Franču
"Х:{}, Т:{}, РЦ:{}","H:{}, T:{}, R:{}"
Хранилища MTP,MTP krātuve
Хранилище только для чтения,Tikai lasāma krātuve
Целевая запись о контенте не найдена,Mērķa satura ieraksts nav atrasts
ЧАСТЬ КОНТЕНТА ОТСУТСТВУЕТ. ИГРА НЕ БУДЕТ РАБОТАТЬ,TRŪKST DAĻAS SATURA. SPĒLE NEDARBOSIES
Число транзисторов: {:>3},Tranzistoru skaits: {:>3}
Число уникальных сыграных игр : {},Unikālo spēlēto spēļu skaits  : {}
Число ходов:        {:>3},Gājienu skaits:         {:>3}
Чтение каталога...,Notiek kataloga nolasīšana...
Чтение списка файлов...,Notiek failu saraksta nolasīšana...
Что-то плохое грядёт,Kaut kas slikts tuvojas
Что-то пошло не так. Пропускаем оставшийся файл,Kaut kas nogāja greizi. Izlaižu atlikušo failu
"Чтобы вернуться, нажмите B","Lai atgrieztos, nospiediet B"
Шадок у Гиби,Purvainie pie kaimiņiem
Экспорт SDK,SDK eksports
Экспортировать,Eksportēt
Экспортировать SDK,Eksportēt SDK
Январь,Janvāris
Японский,Japāņu
Ярлык для DBI,Saīsne DBI
да,jā
не является LFS папкой,nav LFS mape
не является LFS папкой игры,nav spēles LFS mape
нет,nē
"ZL/ZR - смена даты, Y - период","ZL/ZR - mainīt datumu, Y - periods"
"Получено: {}, (скорость не определена)","Saņemts: {}, (ātrums nav noteikts)"
Игры добавлены в список исключений,Spēles pievienotas izņēmumu sarakstam
Новых игр в список исключений добавлено не было,Izņēmumu sarakstam netika pievienotas jaunas spēles
Просмотр МТР устройства [{}],MTP ierīces skatīšana [{}]
Просмотр USB диска [{}],USB diska skatīšana [{}]
Заряд батареи (сырое значение) : {},Akumulatora uzlāde (neapstrādāta vērtība) : {}
ru,lv
[CRC ОШИБКА ФАЙЛА],[FAILA CRC KĻŪDA]
Будет скачана и установлена прошивка системы из файла {}.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены,"Sistēmas programmaparatūra tiks lejupielādēta un instalēta no faila {}.\n\nNospiediet (+) lai turpinātu\nJebkuru citu pogu, lai atceltu"
Распаковка архива не удалась,Arhīva izpakošana neizdevās
Сканирование архива не удалось,Arhīva skenēšana neizdevās
Установить все обновления из этой папки,Instalēt visus atjauninājumus no šīs mapes
Япония,Japāna
Русский,Krievu
Февраль,Februāris
Октябрь,Oktobris
[HASH MISMATCH: GC ➡ eShop],[HASH MISMATCH: GC ➡ eShop]
Ноябрь,Novembris
Игрок,Spēlētājs
Время,Laiks
Контент,Saturs
[HASH: OK],[HASH: OK]
Красная,Sarkanā
[HASH MISMATCH: Неисправимо],[HASH NEATBILSTĪBA: Neatgriezeniska]
[ПРЕД],[IEPR]
Альбом,Albums
Выход,Iziet
и т.д...,u.c...
{} бекап,{} rezerves kopija
874,874
Пишется тело: {}/{}MB \r,Raksta pamattekstu: {}/{}MB \r
Пишется скриншот\n,Tiek rakstīts ekrānuzņēmums\n
Пишется таблица хешей\n,Tiek rakstīta jaucējkodu tabula\n
Пишется подпись видео\n,Tiek rakstīts video paraksts\n
Операция завершена\n,Operācija pabeigta\n
"Будет скачана и установлена прошивка системы из файла {}.\n\nВНИМАНИЕ!!! Похоже, эта версия не поддерживается текущей атмосферой.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены","Sistēmas programmaparatūra tiks lejupielādēta un instalēta no faila {}.\n\nUZMANĪBU!!! Šķiet, ka šī versija netiek atbalstīta ar pašreizējo Atmosphere.\n\nNospiediet (+), lai turpinātu\nNospiediet jebkuru citu pogu, lai atceltu"
Копирование файла не удалось,Neizdevās nokopēt failu
Daybreak.nro не найден,Daybreak.nro nav atrasts
Изображение добавлено в альбом,Attēls pievienots albumam
Ошибка добавления изобржения в альбом: {},"Kļūda, pievienojot attēlu albumam: {}"
Добавить в альбом,Pievienot albumam
Анализ mp4 файла,mp4 faila analīze
Длительность: {},Ilgums: {}
ОШИБКА! Файл не содержит один видео трек,KĻŪDA! Fails nesatur vienu video celiņu
ОШИБКА! Файл не содержит один аудио трек,KĻŪDA! Fails nesatur vienu audio celiņu
ОШИБКА! У видео трека неподдерживаемый кодек,KĻŪDA! Video celiņam ir neatbalstīts kodeks
ОШИБКА! У аудио трека неподдерживаемый кодек,KĻŪDA! Audio celiņam ir neatbalstīts kodeks
ОШИБКА! Аудио трек не стерео,KĻŪDA! Audio celiņš nav stereo
[{}] Общий тикет для {},[{}] Kopējā biļete priekš {}
ОШИБКА! У аудио трека неподходящая частота дискретизации,KĻŪDA! Audio celiņam ir nepiemērots izlases biežums
ОШИБКА! У видео трека неподходящая ширина,KĻŪDA! Video celiņam ir nepiemērots platums
ОШИБКА! У видео трека неподходящая высота,KĻŪDA! Video celiņam ir nepiemērots augstums
ВНИМАНИЕ! Возможно видео поток содержит B-Frames. Файл может не воспроизводиться,UZMANĪBU! Video straume var saturēt B-Frames. Fails var netikt atskaņots
"Похоже, это не MP4 файл","Izskatās, ka šis nav MP4 fails"
Открыть как RomFS,Atvērt kā RomFS
\x1b[31;1mГ\x1b[37;1m,\x1b[31;1mГ\x1b[37;1m
\x1b[32;1mШ\x1b[37;1m,\x1b[32;1mШ\x1b[37;1m
Ваша SD карта является подделкой. Рекомендуется заменить SD карту на проверенную.,Jūsu SD karte ir viltota. Ieteicams nomainīt SD karti ar pārbaudītu.
[{}] Персональный тикет для {},[{}] Personīgā biļete {}
Кажется ваша SD карта является подделкой.\n\nВозможны проблемы с установкой игр.\nВ этом случае рекомендуется заменить SD карту на проверенную.,Jūsu SD karte šķiet esam viltota.\n\nVar rasties problēmas ar spēļu instalēšanu.\nŠajā gadījumā ieteicams nomainīt SD karti ar pārbaudītu.
Информация о SD карте,SD kartes informācija
[ПОДПИСЬ: DBI],[PARAKSTS: DBI]
.    Время игры    \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,.    Spēles laiks    \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
"ZL/ZR смена даты, Y период, X сортировка, (+) выбрать пользователя","ZL/ZR mainīt datumu, Y periods, X kārtošana, (+) izvēlēties lietotāju"
[{}МБ] {}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,[{}MB] {}MB no {}MB ({:.2f} MB/sek)\x1b[0K\r
"X выбор, Y обратить выбор, (+) меню, R3 сортировка, L3 запуск","X izvēlēties, Y apgriezt izvēli, (+) izvēlne, R3 kārtot, L3 palaist"
Создать все известные ({}),Izveidot visus zināmos ({})
"X выбор, Y обратить выбор, (+) меню, L3 запуск","X izvēlēties, Y apgriezt izvēli, (+) izvēlne, L3 palaist"
"DPAD или стики для перемещения, (+) Настройки","DPAD vai nūjiņas pārvietošanai, (+) Iestatījumi"
Просмотр HTTP/FTP/Github сервера...,HTTP/FTP/Github servera pārlūkošana...
"X выбор, Y обратить выбор, (+) меню, R3 сортировка","X izvēlēties, Y apgriezt izvēli, (+) izvēlne, R3 kārtot"
"X выбор, Y обр. выбор, (+) меню","X atlasīt, Y apgriezt atlasi, (+) izvēlne"
"X выбор, Y обратить выбор, A открыть, (-) 2ая панель, (+) меню","X atlasīt, Y apgriezt atlasi, A atvērt, (-) 2. panelis, (+) izvēlne"
"X выбор, Y обр. выбор, ⬅/➡ смена панели, (-) закрыть, (+) меню","X atlasīt, Y noņemt atlasi, ⬅/➡ mainīt paneli, (-) aizvērt, (+) izvēlne"
[ДЕЛЬТА ФРАГМЕНТ НЕ НУЖЕН],[DELTA FRAGMENTS NAV NEPIECIEŠAMS]
[КОНТЕНТ ОТСУТСТВУЕТ],[SATURS TRŪKST]
[НЕ СОЗДАТЬ ПЛЕЙСХОЛДЕР],[NEVEIDOT VIETTURI]
[НЕДОСТАТОЧНО МЕСТА],[NEPIETIEK VIETAS]
[НЕИЗВЕСТНОЕ СЖАТИЕ],[NEZINĀMA SASPIEŠANA]
[ОТСУТСТВУЕТ],[TRŪKST]
[ОШБК],[KĻŪDA]
[ОШИБКА NCA MAGIC],[NCA MAGIC KĻŪDA]
[ОШИБКА ЗАПИСИ В ПЛЕЙСХОЛДЕР],[VIETTURA RAKSTĪŠANAS KĻŪDA]
[ОШИБКА РАСПАКОВКИ ZSTD: {}],[ZSTD DEKOMPRESIJAS KĻŪDA: {}]
[ОШИБКА РАСПАКОВКИ],[IZPAKOŠANAS KĻŪDA]
[ОШИБКА],[KĻŪDA]
[ОШИБКА] Отсутствует URL списка обновлений,[KĻŪDA] Trūkst atjauninājumu saraksta URL
[ПЕРЕДАЧА OK],[PĀRSŪTĪŠANA OK]
[ПЕРЕДАЧА ПРЕРВАНА],[PĀRSŪTĪŠANA PĀRTRAUKTA]
[ПОВРЕЖДЁННЫЙ NCA],[BOJĀTS NCA]
[ПОДПИСЬ: OK],[PARAKSTS: OK]
[ПОДПИСЬ: XCI➡NSP],[PARAKSTS: XCI➡NSP]
[ПОДПИСЬ: Поддельная],[PARAKSTS: Viltots]
[СТАРАЯ ПРОШИВКА],[VECA PROGRAMMAPARATŪRA]
[ТРЕБУЕТСЯ РЕЖИМ ТАЙТЛА],[NEPIECIEŠAMS NOSAUKUMA REŽĪMS]
[ФАЙЛ ПОВРЕЖДЁН],[FAILS BOJĀTS]
[ХЕШ ИСПРАВЛЕН],[JAUCĒJKODS LABOTS]
[ХЕШ НЕ СОВПАДАЕТ],[JAUCĒJKODS NESAKRĪT]
\nНачало обработки dlc {}: {:016X},\nSāk DLC apstrādi {}: {:016X}
\nНачало обработки программы {},\nSākta lietotnes {} apstrāde
\nНачало создания Data.nca,\nData.nca izveides sākums
\nНачало создания Meta.nca,\nMeta.nca izveides sākšana
\nОшибка USB обмена,\nUSB pārsūtīšanas kļūda
\nСборка PFS0,\nPFS0 veidošana
\nСборка RomFS,\nRomFS veidošana
\nСекция 0,\nSekcija 0
\nСекция 1,\nSadaļa 1
\nСекция 2,\nSadaļa 2
\nСоздан NSP: {},\nNSP izveidots: {}
\nШифрование NCA,\nNCA šifrēšana
{:04d} {} {:02d}. Всего: {} час,{:04d} {} {:02d}. Kopā: {} st
{:04d} {} {:02d}. Всего: {} часа,{:04d} {} {:02d}. Kopā: {} stundas
{:04d} {} {:02d}. Всего: {} часов,{:04d} {} {:02d}. Kopā: {} stundas
{:4d} {}. Всего: {} час,{:4d} {}. Kopā: {} st
{:4d} {}. Всего: {} часа,{:4d} {}. Kopā: {} stundas
{:4d} {}. Всего: {} часов,{:4d} {}. Kopā: {} stundas
{:4d}. Всего: {} час,{:4d}. Kopā: {} st
{:4d}. Всего: {} часа,{:4d}. Kopā: {} stundas
{:4d}. Всего: {} часов,{:4d}. Kopā: {} stundas
{:>3} {}{:<50}\x1b[37;1m {:>10},{:>3} {}{:<50}\x1b[37;1m {:>10}
{:>6} объектов обработано. {:>5} записей найдено...\r,{:>6} objekti apstrādāti. {:>5} ieraksti atrasti...\r
{:>6}/{}kB уже скачано...\r,{:>6}/{}kB jau lejupielādēts...\r
{} cохранение,{} saglabāšana
{} cохранений,{} saglabāts
{} cохранения,{} saglabāšanas dati
{} бекапа,{} dublējums
{} бекапов,{} dublējumi
{} записей ({}),{} ieraksti ({})
{} записи ({}),{} ieraksti ({})
{} запись ({}),{} ieraksts ({})
{} игр ({}),{} spēles ({})
{} игра ({}),{} spēle ({})
{} игры ({}),{} spēles ({})
{} сохранение,{} saglabāšana
{} сохранений,{} saglabājumi
{} сохранения,{} saglabāšanas dati
{} тикет,{} biļete
{} тикета,{} biļetes
{} тикетов,{} biļetes
{}-{} FW:{}{} SDK:{},{}-{} FW:{}{} SDK:{}
"{}/{} MB (Ср: {:.1f} MB/sec, Тек: {:.1f} MB/sec) Ост. {:02d}:{:02d}      \r","{}/{} MB (Vid: {:.1f} MB/s, Paš: {:.1f} MB/s) Atl. {:02d}:{:02d}      \r"
"{}/{} МБ, {:.2f} МБ/сек","{}/{} MB, {:.2f} MB/sek"
{}: {} потерянная запись,{}: {} bāreņu ieraksts
{}: {} потерянных записей,{}: {} pazaudēti ieraksti
{}: {} потерянных записи,{}: {} pazaudēti ieraksti
{}: {}/{} ({:.2f} МБ/сек),{}: {}/{} ({:.2f} MB/sek)
{}: {}/{} ({}%) ({:.2f} МБ/сек),{}: {}/{} ({}%) ({:.2f} MB/s)
{}: пропускается {}/{} ({:.2f} МБ/сек),{}: izlaiž {}/{} ({:.2f} MB/sek)
"{}\n\nВосстановление бекапа не удалось\n\nНажмите A - прервать, другая кнопка - продолжить","{}\n\nDublējuma atjaunošana neizdevās\n\nNospiediet A pārtraukt, citu pogu turpināt"
{}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,{}MB no {}MB ({:.2f} MB/sek)\x1b[0K\r
АВТО,AUTO
Аватар установлен,Avatars iestatīts
Август,Augusts
Австралия,Austrālija
Автозапуск MTP,MTP automātiskā palaišana
Автозапуск списка homebrew,Homebrew saraksta automātiskā palaišana
Агрументы для ярлыка,Saīsnes argumenti
Адрес FTP сервера: {},FTP servera adrese: {}
Адрес HTTP сервера: {},HTTP servera adrese: {}
Альбом (0°),Albums (0°)
Американский английский,Amerikāņu angļu
Апрель,Aprīlis
База этой игры не самодостаточна. Не забудьте установить обновление,Šīs spēles bāze nav pašpietiekama. Neaizmirstiet instalēt atjauninājumu
Бекапы,Dublējumi
Бекапы сохранений ({}),Saglabāto datu dublējumi ({})
Британский английский,Britu angļu
В альбоме найден {} объект,Albumā atrasts {} objekts
В альбоме найдено {} объекта,Albumā atrasti {} objekti
В альбоме найдено {} объектов,Albumā atrasti {} objekti
В альбоме отсутствуют объекты,Albumā nav objektu
В файле /switch/prod.keys отсутствуют необходимые ключи.\n\nЧасть функций программы будет недоступна.\n\nПерегрузитесь в Hekate и используйте Lockpick_RCM.bin пейлоад\nдля дампа ключей из SysNAND.,"Nepieciešamās atslēgas trūkst failā /switch/prod.keys.\n\nDažas lietotnes funkcijas nebūs pieejamas.\n\nPārstartējiet uz Hekate un izmantojiet Lockpick_RCM.bin payload,\nlai izgūtu atslēgas no SysNAND."
ВНИМАНИЕ! Тайтл {:016X} не установлен,UZMANĪBU! Nosaukums {:016X} nav instalēts
ВНИМАНИЕ! Установленная версия ({}) не совпадает с желаемой ({}),UZMANĪBU! Instalētā versija ({}) neatbilst vēlamajai ({})
ВО ВРЕМЯ ПЕРЕДАЧИ ФАЙЛА НАЙДЕНЫ ОШИБКИ. УСТАНОВКА ПРЕРВАНА,FAILA PĀRSŪTĪŠANAS LAIKĀ ATRASTAS KĻŪDAS. INSTALĒŠANA PĀRTRAUKTA
Введите URL сервера (HTTP или (S)FTP),Ievadiet servera URL (HTTP vai (S)FTP)
Введите агрументы для ярлыка или оставьте пустым,Ievadiet saīsnes argumentus vai atstājiet tukšu
Введите желаемый номер страницы,Ievadiet vēlamo lapas numuru
Введите новое имя,Ievadiet jaunu nosaukumu
Введите новое имя каталога,Ievadiet jaunu direktorijas nosaukumu
Введите новое имя файла,Ievadiet jaunu faila nosaukumu
Введите номер DLC,Ievadiet DLC numuru
Версия {} [v{}],Versija {} [v{}]
Вместо пользователя {} использовать:,Izmantot lietotāja {} vietā:
Внимание!\nНекоторые файлы были заблокированы и поэтому пропущены.,Uzmanību!\nDaži faili bija bloķēti un tāpēc izlaisti.
Во время разбора\n\n{}\n\nвозникла следующая ошибка:\n\n{},Parsējot\n\n{}\n\nradās šāda kļūda:\n\n{}
Во время установки тикетов были ошибки. Проверьте наличие ES сигпатчей,Biļešu instalēšanas laikā radās kļūdas. Pārbaudiet ES sigpatches esamību
Во время экспорта были ошибки,Eksportēšanas laikā radās kļūdas
Возраст батареи                : {},Baterijas vecums                          : {}
Возрастной рейтинг,Vecuma reitings
Восстановить,Atjaunot
Восстановить бекап...,Atjaunot dublējumu...
Восстановить для...,Atjaunot...
Восстановить как бекап сохранения,Atjaunot kā saglabāšanas dublējumu
Восстановление бекапа,Dublējuma atjaunošana
Восстановление не удалось,Atjaunošana neizdevās
Восстановление успешно,Atjaunošana veiksmīga
Восстановление: {},Atjaunošana: {}
Время игры: {:02}:{:02}:{:02},Spēles laiks: {:02}:{:02}:{:02}
Время передачи {:d}:{:02d}:{:02d},Pārsūtīšanas laiks {:d}:{:02d}:{:02d}
Все игровые сессии,Visas spēļu sesijas
Все игроки,Visi spēlētāji
Все объекты,Visi objekti
Все файлы в порядке,Visi faili ir kārtībā
Всего {} байт получен,{} baiti saņemti
Всего {} байт послан,{} baiti nosūtīti
Всего {} байта получено,Kopā saņemti {} baiti
 Да, Jā
Всего {} байта послано,{} baiti nosūtīti
Всего {} байтов получено,Kopā saņemti {} baiti
Всего {} байтов послано,{} baiti nosūtīti
Всего записей: {},Ierakstu skaits: {}
Всего отослано: {} ({}/сек),Kopā nosūtīts: {} ({}/sek)
Всего программ: {},Kopā programmu: {}
Вставить,Ievietot
Вставка...,Ievietošana...
Всё время. Всего: {} час,Viss laiks. Kopā: {} stundas
Всё время. Всего: {} часа,Viss laiks. Kopā: {} stundas
Всё время. Всего: {} часов,Viss laiks. Kopā: {} stundas
Вы собираетесь удалить следующие бекапы:,Jūs gatavojaties dzēst šādas dublējumkopijas:
Вы собираетесь удалить следующие игры:,Jūs gatavojaties dzēst šādas spēles:
Вы собираетесь удалить следующие сохранения:,Jūs gatavojaties dzēst šādus saglabājumus:
Вы собираетесь удалить следующие тикеты:,Jūs gatavojaties dzēst šādas biļetes:
Вы уверены в удалении {} записей?\n\n(+) - ДА   B - Отмена,Vai tiešām vēlaties dzēst {} ierakstus?\n\n(+) - JĀ   B - Atcelt
Вы уверены в удалении {} записи?\n\n(+) - ДА   B - Отмена,Vai tiešām vēlaties dzēst {} ierakstu?\n\n(+) - JĀ   B - Atcelt
Вы уверены в удалении {} объекта?\n\n(+) - ДА   B - Отмена,Vai tiešām vēlaties dzēst {} objektu?\n\n(+) - JĀ   B - Atcelt
Вы уверены в удалении {} объектов?\n\n(+) - ДА   B - Отмена,Vai tiešām vēlaties dzēst {} objektus?\n\n(+) - JĀ   B - Atcelt
"Вы уверены, что хотите удалить {}?\n\n(+) - ДА, другая кнопка - НЕТ","Vai tiešām vēlaties dzēst {}?\n\n(+) - JĀ, cita poga - NĒ"
"Вы уверены, что хотите удалить\n{}?\n\n(+) - ДА  В - Отмена",Vai tiešām vēlaties dzēst\n{}?\n\n(+) - JĀ  B - Atcelt
Выберите пользователя,Izvēlēties lietotāju
Выберите тип сохранения,Izvēlieties saglabāšanas veidu
Выбрать все файлы игры,Atlasīt visus spēles failus
Выбрать того же пользователя,Izvēlēties to pašu lietotāju
Выбрать ту же игру,Izvēlēties to pašu spēli
Вырезать,Izgriezt
Вычисление хэша,Aprēķina jaucējkodu
Вычисленное время конца : {},Aprēķinātais beigu laiks : {}
Вычисленное время начала: {},Aprēķinātais sākuma laiks: {}
Генерация DLC [{:016X}][v{}],DLC ģenerēšana [{:016X}][v{}]
Генерация DLC анлокера...,DLC atslēgas ģenerēšana...
Генерируется анлокер для {:016X} с номером {} и версией {}...,Ģenerē atslēdzēju {:016X} ar numuru {} un versiju {}...
Генерируется ярлык для пути '{}' и аргументов '{}'...,Ģenerē saīsni ceļam '{}' un argumentiem '{}'...
Главное меню,Galvenā izvēlne
Голландский,Holandiešu
"Да, я уверен","Jā, esmu pārliecināts"
Дамп анлокера в '{}'...,Atslēdzēja izmešana uz '{}'...
Дамп текущей прошивки,Pašreizējās programmaparatūras izraksts
Дамп ярлыка в '{}'...,Saīsnes izmešana uz '{}'...
Действия с файлами,Failu darbības
Действия с файлами ({}),Failu darbības ({})
Декабрь,Decembris
День,Diena
Диаграмма активности,Aktivitātes diagramma
Для бекапов,Dublējumiem
Для выхода нажмите любую кнопку,"Nospiediet jebkuru pogu, lai izietu"
Для дампов,Dumpiem
Для логов,Žurnāliem
Добавить в любимые,Pievienot izlasei
Европа,Eiropa
"Есть несохранёные изменения.\nВы хотите их сохранить?\n\n(+) - Да, сохранить\n\n(-) - Выйти без сохранения\n\nДругая кнопка - Отмена","Ir nesaglabātas izmaiņas.\nVai vēlaties tās saglabāt?\n\n(+) - Jā, saglabāt\n\n(-) - Iziet nesaglabājot\n\nCita poga - Atcelt"
Желаемая версия: {},Vēlamā versija: {}
Журнал активности,Darbību žurnāls
Завершено,Pabeigts
Загружается список обновлений...,Ielādē atjauninājumu sarakstu...
Загрузка изображения...,Ielādē attēlu...
Загрузка текста...{}%,Ielādē tekstu...{}%
Загрузка файла... {}%,Ielādē failu... {}%
Задать размер файла {} не удалось: {},Neizdevās iestatīt faila izmēru {}: {}
Закончено за {:02d}:{:02d}:{:02d},Pabeigts {:02d}:{:02d}:{:02d}
Закончилась память при посылке ответа,"Atmiņa izsmeldzās, sūtot atbildi"
Закончились дополнительные буферы. Скорость записи на носитель слишком низка,Papildu buferi izsmelti. Rakstīšanas ātrums uz datu nesēju ir pārāk zems
