original,translation
Удаляется сохранение {}...,Suppression de la sauvegarde {}...
Удаляется старая запись о контенте...,Suppression de l'ancienne entrée de contenu...
Удаляется старый cnmt.nca...,Suppression de l'ancien cnmt.nca...
Удаляется тикет: {}...,Suppression du ticket : {}...
Удаляются все объекты из альбома для игры,Suppression de tous les éléments de l'album du jeu
Удаляются все сохранения для игры,Suppression de toutes les sauvegardes du jeu
Удаляются сохранения...,Suppression des données de sauvegarde...
"UID: {}, Ник: {}","UID: {}, Pseudo : {}"
Удалённые,Supprimés
Удачный экспорт,Exportation réussie
Уделение старого тикета...,Suppression de l'ancien ticket...
Упаковка каталога в RomFS,Emballage du répertoire en RomFS
Упрощенный китайский,Chinois simplifié
Успешно разобран как PFS0 файл,Analysé avec succès en tant que fichier PFS0
Устанавливается {},Installation de {}
Установить как аватар...,Définir comme avatar...
Установка,Installation
Установка анлокера...,Installation de l'unlocker...
Установка завершена,Installation terminée
Установка игр (NAND),Installation de jeux (NAND)
Установка игр (SD Card),Installation de jeux (Carte SD)
Установка игры завершена,Installation du jeu terminée
Установка обновлений игр,Installer les mises à jour des jeux
Установка прервана,Installation interrompue
Установка тайтлов ({}/{}),Installation des titres ({}/{})
USB Соединение,Connexion USB
Установка ярлыка...,Installation du raccourci...
Установлен,Installé
Установленные,Installés
Установленные homebrew,Homebrew installé
Установленные homebrew ({}),Homebrew installé ({})
Установленные игры,Jeux installés
Установленные тикеты,Tickets installés
Установленные тикеты ({}),Tickets installés ({})
Файл повреждён и не может быть установлен. Не найдена сигнатура HEAD,Le fichier est corrompu et ne peut pas être installé. Signature HEAD non trouvée
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе root,Le fichier est corrompu et ne peut pas être installé. Signature HFS0 non trouvée dans la partition root
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе secure,Le fichier est corrompu et ne peut pas être installé. Signature HFS0 non trouvée dans la partition secure
Файл повреждён и не может быть установлен. Не найдена сигнатура PFS0,Le fichier est corrompu et ne peut pas être installé. Signature PFS0 non trouvée
Файл слишком большой для хранилища,Le fichier est trop volumineux pour le stockage
Файл: {},Fichier : {}
Фиксация ФС...,Validation du système de fichiers...
Финальный размер: {},Taille finale : {}
Формирование списка...,Génération de la liste...
Форсированный язык    : {},Langue forcée          : {}
Форсированный язык    : {} ({}),Langue forcée          : {} ({})
Форсировать язык,Forcer la langue
Французский,Français
"Х:{}, Т:{}, РЦ:{}","H:{}, T:{}, R:{}"
Хранилища MTP,Stockage MTP
Хранилище только для чтения,Stockage en lecture seule
Целевая запись о контенте не найдена,Enregistrement de contenu cible non trouvé
ЧАСТЬ КОНТЕНТА ОТСУТСТВУЕТ. ИГРА НЕ БУДЕТ РАБОТАТЬ,UNE PARTIE DU CONTENU EST MANQUANTE. LE JEU NE FONCTIONNERA PAS
Число транзисторов: {:>3},Nombre de transistors : {:>3}
Число уникальных сыграных игр : {},Nombre de jeux uniques joués     : {}
Число ходов:        {:>3},Nombre de coups :       {:>3}
Чтение каталога...,Lecture du répertoire...
Чтение списка файлов...,Lecture de la liste des fichiers...
Что-то плохое грядёт,Quelque chose de mauvais arrive
Что-то пошло не так. Пропускаем оставшийся файл,Quelque chose a mal tourné. Passage du fichier restant
"Чтобы вернуться, нажмите B",Appuyez sur B pour revenir
Шадок у Гиби,Les marécageux chez les voisins
Экспорт SDK,Exportation SDK
Экспортировать,Exporter
Экспортировать SDK,Exporter le SDK
Январь,Janvier
Японский,Japonais
Ярлык для DBI,Raccourci pour DBI
да,oui
не является LFS папкой,n'est pas un dossier LFS
не является LFS папкой игры,n'est pas un dossier de jeu LFS
нет,non
"ZL/ZR - смена даты, Y - период","ZL/ZR - changer la date, Y - période"
"Получено: {}, (скорость не определена)","Reçu : {}, (vitesse non définie)"
Игры добавлены в список исключений,Jeux ajoutés à la liste d'exclusion
Новых игр в список исключений добавлено не было,Aucun nouveau jeu n'a été ajouté à la liste d'exclusion
Просмотр МТР устройства [{}],Affichage du périphérique MTP [{}]
Просмотр USB диска [{}],Affichage du lecteur USB [{}]
Заряд батареи (сырое значение) : {},Charge de la batterie (valeur brute) : {}
ru,fr
[CRC ОШИБКА ФАЙЛА],[ERREUR CRC DU FICHIER]
Будет скачана и установлена прошивка системы из файла {}.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены,Le firmware du système sera téléchargé et installé depuis le fichier {}.\n\nAppuyez sur (+) pour continuer\nN'importe quel autre bouton pour annuler
Распаковка архива не удалась,L'extraction de l'archive a échoué
Сканирование архива не удалось,L'analyse de l'archive a échoué
Установить все обновления из этой папки,Installer toutes les mises à jour depuis ce dossier
Япония,Japon
Русский,Russe
Февраль,Février
Октябрь,Octobre
[HASH MISMATCH: GC ➡ eShop],[HASH MISMATCH: GC ➡ eShop]
Ноябрь,Novembre
Игрок,Joueur
Время,Temps
Контент,Contenu
[HASH: OK],[HASH: OK]
Красная,Rouge
[HASH MISMATCH: Неисправимо],[ERREUR DE HASH : Irrécupérable]
[ПРЕД],[PRÉC]
Альбом,Album
Выход,Quitter
и т.д...,etc...
{} бекап,{} sauvegarde
874,874
Пишется тело: {}/{}MB \r,Écriture du corps : {}/{} Mo \r
Пишется скриншот\n,Écriture de la capture d'écran\n
Пишется таблица хешей\n,Écriture de la table de hachage\n
Пишется подпись видео\n,Écriture de la signature vidéo\n
Операция завершена\n,Opération terminée\n
"Будет скачана и установлена прошивка системы из файла {}.\n\nВНИМАНИЕ!!! Похоже, эта версия не поддерживается текущей атмосферой.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены",Le firmware système va être téléchargé et installé depuis le fichier {}.\n\nATTENTION !!! Il semble que cette version ne soit pas prise en charge par l'Atmosphere actuel.\n\nAppuyez sur (+) pour continuer\nAppuyez sur n'importe quel autre bouton pour annuler
Копирование файла не удалось,Échec de la copie du fichier
Daybreak.nro не найден,Daybreak.nro non trouvé
Изображение добавлено в альбом,Image ajoutée à l'album
Ошибка добавления изобржения в альбом: {},Erreur lors de l'ajout de l'image à l'album : {}
Добавить в альбом,Ajouter à l'album
Анализ mp4 файла,Analyse du fichier mp4
Длительность: {},Durée : {}
ОШИБКА! Файл не содержит один видео трек,ERREUR ! Le fichier ne contient pas une piste vidéo
ОШИБКА! Файл не содержит один аудио трек,ERREUR ! Le fichier ne contient pas une piste audio
ОШИБКА! У видео трека неподдерживаемый кодек,ERREUR ! La piste vidéo a un codec non supporté
ОШИБКА! У аудио трека неподдерживаемый кодек,ERREUR ! La piste audio a un codec non pris en charge
ОШИБКА! Аудио трек не стерео,ERREUR ! La piste audio n'est pas en stéréo
[{}] Общий тикет для {},[{}] Ticket commun pour {}
ОШИБКА! У аудио трека неподходящая частота дискретизации,ERREUR ! La piste audio a une fréquence d'échantillonnage inadaptée
ОШИБКА! У видео трека неподходящая ширина,ERREUR ! La piste vidéo a une largeur inadaptée
ОШИБКА! У видео трека неподходящая высота,ERREUR ! La piste vidéo a une hauteur inadaptée
ВНИМАНИЕ! Возможно видео поток содержит B-Frames. Файл может не воспроизводиться,ATTENTION ! Le flux vidéo pourrait contenir des B-Frames. Le fichier pourrait ne pas être lu
"Похоже, это не MP4 файл",Il semble que ce ne soit pas un fichier MP4
Открыть как RomFS,Ouvrir en tant que RomFS
\x1b[31;1mГ\x1b[37;1m,\x1b[31;1mГ\x1b[37;1m
\x1b[32;1mШ\x1b[37;1m,\x1b[32;1mШ\x1b[37;1m
Ваша SD карта является подделкой. Рекомендуется заменить SD карту на проверенную.,Votre carte SD est contrefaite. Il est recommandé de remplacer la carte SD par une carte vérifiée.
[{}] Персональный тикет для {},[{}] Ticket personnel pour {}
Кажется ваша SD карта является подделкой.\n\nВозможны проблемы с установкой игр.\nВ этом случае рекомендуется заменить SD карту на проверенную.,"Votre carte SD semble être contrefaite.\n\nDes problèmes d'installation de jeux peuvent survenir.\nDans ce cas, il est recommandé de remplacer la carte SD par une carte vérifiée."
Информация о SD карте,Informations sur la carte SD
[ПОДПИСЬ: DBI],[SIGNATURE: DBI]
.    Время игры    \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,.    Temps de jeu    \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
"ZL/ZR смена даты, Y период, X сортировка, (+) выбрать пользователя","ZL/ZR changer date, Y période, X tri, (+) sélectionner utilisateur"
[{}МБ] {}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,[{}Mo] {}Mo sur {}Mo ({:.2f} Mo/sec)\x1b[0K\r
"X выбор, Y обратить выбор, (+) меню, R3 сортировка, L3 запуск","X sélectionner, Y inverser sélection, (+) menu, R3 trier, L3 lancer"
Создать все известные ({}),Créer tous les connus ({})
"X выбор, Y обратить выбор, (+) меню, L3 запуск","X sélectionner, Y inverser la sélection, (+) menu, L3 lancer"
"DPAD или стики для перемещения, (+) Настройки","DPAD ou sticks pour se déplacer, (+) Paramètres"
Просмотр HTTP/FTP/Github сервера...,Parcourir le serveur HTTP/FTP/Github...
"X выбор, Y обратить выбор, (+) меню, R3 сортировка","X sélectionner, Y inverser sélection, (+) menu, R3 trier"
"X выбор, Y обр. выбор, (+) меню","X sélectionner, Y inverser sélection, (+) menu"
"X выбор, Y обратить выбор, A открыть, (-) 2ая панель, (+) меню","X sélectionner, Y inverser sélection, A ouvrir, (-) 2ème panneau, (+) menu"
"X выбор, Y обр. выбор, ⬅/➡ смена панели, (-) закрыть, (+) меню","X sélectionner, Y désélectionner, ⬅/➡ changer de panneau, (-) fermer, (+) menu"
[ДЕЛЬТА ФРАГМЕНТ НЕ НУЖЕН],[FRAGMENT DELTA NON NÉCESSAIRE]
[КОНТЕНТ ОТСУТСТВУЕТ],[CONTENU MANQUANT]
[НЕ СОЗДАТЬ ПЛЕЙСХОЛДЕР],[NE PAS CRÉER D'ESPACE RÉSERVÉ]
[НЕДОСТАТОЧНО МЕСТА],[PAS ASSEZ D'ESPACE]
[НЕИЗВЕСТНОЕ СЖАТИЕ],[COMPRESSION INCONNUE]
[ОТСУТСТВУЕТ],[MANQUANT]
[ОШБК],[ERREUR]
[ОШИБКА NCA MAGIC],[ERREUR NCA MAGIC]
[ОШИБКА ЗАПИСИ В ПЛЕЙСХОЛДЕР],[ERREUR D'ÉCRITURE DANS L'ESPACE RÉSERVÉ]
[ОШИБКА РАСПАКОВКИ ZSTD: {}],[ERREUR DE DÉCOMPRESSION ZSTD : {}]
[ОШИБКА РАСПАКОВКИ],[ERREUR D'EXTRACTION]
[ОШИБКА],[ERREUR]
[ОШИБКА] Отсутствует URL списка обновлений,[ERREUR] URL de la liste de mises à jour manquante
[ПЕРЕДАЧА OK],[TRANSFERT OK]
[ПЕРЕДАЧА ПРЕРВАНА],[TRANSFERT INTERROMPU]
[ПОВРЕЖДЁННЫЙ NCA],[NCA CORROMPU]
[ПОДПИСЬ: OK],[SIGNATURE: OK]
[ПОДПИСЬ: XCI➡NSP],[SIGNATURE: XCI➡NSP]
[ПОДПИСЬ: Поддельная],[SIGNATURE : Fausse]
[СТАРАЯ ПРОШИВКА],[ANCIEN FIRMWARE]
[ТРЕБУЕТСЯ РЕЖИМ ТАЙТЛА],[MODE TITRE REQUIS]
[ФАЙЛ ПОВРЕЖДЁН],[FICHIER CORROMPU]
[ХЕШ ИСПРАВЛЕН],[HASH CORRIGÉ]
[ХЕШ НЕ СОВПАДАЕТ],[HASH INCOMPATIBLE]
\nНачало обработки dlc {}: {:016X},\nDébut du traitement du DLC {} : {:016X}
\nНачало обработки программы {},\nDébut du traitement de l'application {}
\nНачало создания Data.nca,\nDébut de la création de Data.nca
\nНачало создания Meta.nca,\nDébut de la création de Meta.nca
\nОшибка USB обмена,\nErreur de transfert USB
\nСборка PFS0,\nConstruction PFS0
\nСборка RomFS,\nConstruction de RomFS
\nСекция 0,\nSection 0
\nСекция 1,\nSection 1
\nСекция 2,\nSection 2
\nСоздан NSP: {},\nNSP créé : {}
\nШифрование NCA,\nChiffrement NCA
{:04d} {} {:02d}. Всего: {} час,{:04d} {} {:02d}. Total : {} h
{:04d} {} {:02d}. Всего: {} часа,{:04d} {} {:02d}. Total : {} heures
{:04d} {} {:02d}. Всего: {} часов,{:04d} {} {:02d}. Total : {} heures
{:4d} {}. Всего: {} час,{:4d} {}. Total : {} h
{:4d} {}. Всего: {} часа,{:4d} {}. Total : {} heures
{:4d} {}. Всего: {} часов,{:4d} {}. Total : {} heures
{:4d}. Всего: {} час,{:4d}. Total : {} h
{:4d}. Всего: {} часа,{:4d}. Total : {} heures
{:4d}. Всего: {} часов,{:4d}. Total : {} heures
{:>3} {}{:<50}\x1b[37;1m {:>10},{:>3} {}{:<50}\x1b[37;1m {:>10}
{:>6} объектов обработано. {:>5} записей найдено...\r,{:>6} objets traités. {:>5} entrées trouvées...\r
{:>6}/{}kB уже скачано...\r,{:>6}/{}kB déjà téléchargé...\r
{} cохранение,{} sauvegarde
{} cохранений,{} enregistré
{} cохранения,{} données de sauvegarde
{} бекапа,{} sauvegarde
{} бекапов,{} sauvegardes
{} записей ({}),{} entrées ({})
{} записи ({}),{} entrées ({})
{} запись ({}),{} entrée ({})
{} игр ({}),{} jeux ({})
{} игра ({}),{} jeu ({})
{} игры ({}),{} jeux ({})
{} сохранение,{} sauvegarde
{} сохранений,{} sauvegardes
{} сохранения,{} données de sauvegarde
{} тикет,{} ticket
{} тикета,{} tickets
{} тикетов,{} tickets
{}-{} FW:{}{} SDK:{},{}-{} FW:{}{} SDK:{}
"{}/{} MB (Ср: {:.1f} MB/sec, Тек: {:.1f} MB/sec) Ост. {:02d}:{:02d}      \r","{}/{} MB (Moy: {:.1f} Mo/s, Act: {:.1f} Mo/s) Rest. {:02d}:{:02d}      \r"
"{}/{} МБ, {:.2f} МБ/сек","{}/{} Mo, {:.2f} Mo/sec"
{}: {} потерянная запись,{}: {} entrée orpheline
{}: {} потерянных записей,{}: {} entrées perdues
{}: {} потерянных записи,{}: {} entrées perdues
{}: {}/{} ({:.2f} МБ/сек),{}: {}/{} ({:.2f} Mo/sec)
{}: {}/{} ({}%) ({:.2f} МБ/сек),{}: {}/{} ({}%) ({:.2f} Mo/s)
{}: пропускается {}/{} ({:.2f} МБ/сек),{}: ignoré {}/{} ({:.2f} Mo/sec)
"{}\n\nВосстановление бекапа не удалось\n\nНажмите A - прервать, другая кнопка - продолжить","{}\n\nÉchec de la restauration de la sauvegarde\n\nAppuyez sur A pour annuler, autre bouton pour continuer"
{}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,{}Mo sur {}Mo ({:.2f} Mo/sec)\x1b[0K\r
АВТО,AUTO
Аватар установлен,Avatar défini
Август,Août
Австралия,Australie
Автозапуск MTP,Démarrage automatique MTP
Автозапуск списка homebrew,Démarrage automatique de la liste homebrew
Агрументы для ярлыка,Arguments du raccourci
Адрес FTP сервера: {},Adresse du serveur FTP : {}
Адрес HTTP сервера: {},Adresse du serveur HTTP : {}
Альбом (0°),Album (0°)
Американский английский,Anglais américain
Апрель,Avril
База этой игры не самодостаточна. Не забудьте установить обновление,La base de ce jeu n'est pas autonome. N'oubliez pas d'installer la mise à jour
Бекапы,Sauvegardes
Бекапы сохранений ({}),Sauvegardes des données de sauvegarde ({})
Британский английский,Anglais britannique
В альбоме найден {} объект,{} objet trouvé dans l'album
В альбоме найдено {} объекта,Trouvé {} objets dans l'album
В альбоме найдено {} объектов,{} objets trouvés dans l'album
В альбоме отсутствуют объекты,Aucun objet dans l'album
В файле /switch/prod.keys отсутствуют необходимые ключи.\n\nЧасть функций программы будет недоступна.\n\nПерегрузитесь в Hekate и используйте Lockpick_RCM.bin пейлоад\nдля дампа ключей из SysNAND.,Les clés requises sont manquantes dans le fichier /switch/prod.keys.\n\nCertaines fonctionnalités de l'application seront indisponibles.\n\nRedémarrez dans Hekate et utilisez le payload Lockpick_RCM.bin\npour extraire les clés de SysNAND.
ВНИМАНИЕ! Тайтл {:016X} не установлен,ATTENTION ! Le titre {:016X} n'est pas installé
ВНИМАНИЕ! Установленная версия ({}) не совпадает с желаемой ({}),ATTENTION ! La version installée ({}) ne correspond pas à la version souhaitée ({})
ВО ВРЕМЯ ПЕРЕДАЧИ ФАЙЛА НАЙДЕНЫ ОШИБКИ. УСТАНОВКА ПРЕРВАНА,ERREURS DÉTECTÉES LORS DU TRANSFERT DE FICHIER. INSTALLATION ANNULÉE
Введите URL сервера (HTTP или (S)FTP),Entrez l'URL du serveur (HTTP ou (S)FTP)
Введите агрументы для ярлыка или оставьте пустым,Entrez les arguments pour le raccourci ou laissez vide
Введите желаемый номер страницы,Entrez le numéro de page souhaité
Введите новое имя,Entrez un nouveau nom
Введите новое имя каталога,Entrez le nouveau nom du répertoire
Введите новое имя файла,Entrez le nouveau nom de fichier
Введите номер DLC,Entrez le numéro de DLC
Версия {} [v{}],Version {} [v{}]
Вместо пользователя {} использовать:,Utiliser à la place de l'utilisateur {} :
Внимание!\nНекоторые файлы были заблокированы и поэтому пропущены.,Attention !\nCertains fichiers étaient verrouillés et ont donc été ignorés.
Во время разбора\n\n{}\n\nвозникла следующая ошибка:\n\n{},Lors de l'analyse de\n\n{}\n\nl'erreur suivante s'est produite :\n\n{}
Во время установки тикетов были ошибки. Проверьте наличие ES сигпатчей,Des erreurs se sont produites lors de l'installation des tickets. Vérifiez la présence des sigpatches ES
Во время экспорта были ошибки,Des erreurs se sont produites lors de l'exportation
Возраст батареи                : {},Âge de la batterie                   : {}
Возрастной рейтинг,Classification par âge
Восстановить,Restaurer
Восстановить бекап...,Restaurer la sauvegarde...
Восстановить для...,Restaurer pour...
Восстановить как бекап сохранения,Restaurer comme sauvegarde de données
Восстановление бекапа,Restauration de la sauvegarde
Восстановление не удалось,Récupération échouée
Восстановление успешно,Restauration réussie
Восстановление: {},Restauration : {}
Время игры: {:02}:{:02}:{:02},Temps de jeu : {:02}:{:02}:{:02}
Время передачи {:d}:{:02d}:{:02d},Temps de transfert {:d}:{:02d}:{:02d}
Все игровые сессии,Toutes les sessions de jeu
Все игроки,Tous les joueurs
Все объекты,Tous les objets
Все файлы в порядке,Tous les fichiers sont OK
Всего {} байт получен,{} octets reçus
Всего {} байт послан,{} octets envoyés
Всего {} байта получено,{} octets reçus au total
 Да, Oui
Всего {} байта послано,{} octets envoyés
Всего {} байтов получено,{} octets reçus au total
Всего {} байтов послано,{} octets envoyés
Всего записей: {},Total d'entrées : {}
Всего отослано: {} ({}/сек),Total envoyé : {} ({}/sec)
Всего программ: {},Total de titres : {}
Вставить,Insérer
Вставка...,Insertion...
Всё время. Всего: {} час,Tout le temps. Total : {} heures
Всё время. Всего: {} часа,Tout le temps. Total : {} heures
Всё время. Всего: {} часов,Tout le temps. Total : {} heures
Вы собираетесь удалить следующие бекапы:,Vous êtes sur le point de supprimer les sauvegardes suivantes :
Вы собираетесь удалить следующие игры:,Vous êtes sur le point de supprimer les jeux suivants :
Вы собираетесь удалить следующие сохранения:,Vous êtes sur le point de supprimer les sauvegardes suivantes :
Вы собираетесь удалить следующие тикеты:,Vous êtes sur le point de supprimer les tickets suivants :
Вы уверены в удалении {} записей?\n\n(+) - ДА   B - Отмена,Êtes-vous sûr de vouloir supprimer {} entrées ?\n\n(+) - OUI   B - Annuler
Вы уверены в удалении {} записи?\n\n(+) - ДА   B - Отмена,Êtes-vous sûr de vouloir supprimer {} entrée ?\n\n(+) - OUI   B - Annuler
Вы уверены в удалении {} объекта?\n\n(+) - ДА   B - Отмена,Êtes-vous sûr de vouloir supprimer {} objet ?\n\n(+) - OUI   B - Annuler
Вы уверены в удалении {} объектов?\n\n(+) - ДА   B - Отмена,Êtes-vous sûr de vouloir supprimer {} objets ?\n\n(+) - OUI   B - Annuler
"Вы уверены, что хотите удалить {}?\n\n(+) - ДА, другая кнопка - НЕТ","Êtes-vous sûr de vouloir supprimer {} ?\n\n(+) - OUI, autre bouton - NON"
"Вы уверены, что хотите удалить\n{}?\n\n(+) - ДА  В - Отмена",Êtes-vous sûr de vouloir supprimer\n{}?\n\n(+) - OUI  B - Annuler
Выберите пользователя,Sélectionner l'utilisateur
Выберите тип сохранения,Sélectionner le type de sauvegarde
Выбрать все файлы игры,Sélectionner tous les fichiers du jeu
Выбрать того же пользователя,Sélectionner le même utilisateur
Выбрать ту же игру,Sélectionner le même jeu
Вырезать,Couper
Вычисление хэша,Calcul du hachage
Вычисленное время конца : {},Heure de fin calculée : {}
Вычисленное время начала: {},Heure de début calculée : {}
Генерация DLC [{:016X}][v{}],Génération du DLC [{:016X}][v{}]
Генерация DLC анлокера...,Génération du déverrouilleur de DLC...
Генерируется анлокер для {:016X} с номером {} и версией {}...,Génération du déverrouilleur pour {:016X} avec le numéro {} et la version {}...
Генерируется ярлык для пути '{}' и аргументов '{}'...,Génération du raccourci pour le chemin '{}' et les arguments '{}'...
Главное меню,Menu principal
Голландский,Néerlandais
"Да, я уверен","Oui, je suis sûr"
Дамп анлокера в '{}'...,Extraction du déverrouilleur vers '{}'...
Дамп текущей прошивки,Dump du firmware actuel
Дамп ярлыка в '{}'...,Extraction du raccourci vers '{}'...
Действия с файлами,Opérations sur les fichiers
Действия с файлами ({}),Actions de fichier ({})
Декабрь,Décembre
День,Jour
Диаграмма активности,Graphique d'activité
Для бекапов,Pour les sauvegardes
Для выхода нажмите любую кнопку,Appuyez sur n'importe quel bouton pour quitter
Для дампов,Pour les dumps
Для логов,Pour les journaux
Добавить в любимые,Ajouter aux favoris
Европа,Europe
"Есть несохранёные изменения.\nВы хотите их сохранить?\n\n(+) - Да, сохранить\n\n(-) - Выйти без сохранения\n\nДругая кнопка - Отмена","Il y a des modifications non enregistrées.\nVoulez-vous les enregistrer ?\n\n(+) - Oui, enregistrer\n\n(-) - Quitter sans enregistrer\n\nAutre bouton - Annuler"
Желаемая версия: {},Version souhaitée : {}
Журнал активности,Journal d'activité
Завершено,Terminé
Загружается список обновлений...,Chargement de la liste des mises à jour...
Загрузка изображения...,Chargement de l'image...
Загрузка текста...{}%,Chargement du texte...{}%
Загрузка файла... {}%,Chargement du fichier... {}%
Задать размер файла {} не удалось: {},Impossible de définir la taille du fichier {} : {}
Закончено за {:02d}:{:02d}:{:02d},Terminé en {:02d}:{:02d}:{:02d}
Закончилась память при посылке ответа,Mémoire insuffisante lors de l'envoi de la réponse
Закончились дополнительные буферы. Скорость записи на носитель слишком низка,Tampons supplémentaires épuisés. La vitesse d'écriture sur le support est trop faible
Закрытие соединения,Fermeture de la connexion
Закрытие соединения к {}:{},Fermeture de la connexion à {}:{}
Запаковать LFS в romfs.bin,Empaqueter LFS dans romfs.bin
Запаковать в romfs.bin,Empaqueter dans romfs.bin
Запаковка папки в RomFS,Empaquetage du dossier dans RomFS
Записанное время конца  : {},Heure de fin enregistrée  : {}
Записанное время начала : {},Heure de début enregistrée : {}
Запись в файл...,Écriture dans le fichier...
Запись за пределами файла,Écriture au-delà du fichier
Заполнение нулями,Remplissage de zéros
Заполнить свободное место на SD нулями,Remplir l'espace libre de la SD avec des zéros
Запрет захвата видео,Interdire la capture vidéo
Запрет скриншотов,Interdiction de captures d'écran
Запрещено,Interdit
Запускавшиеся игры,Jeux lancés
Запустить FTP сервер...,Démarrer le serveur FTP...
Запустить HTTP сервер...,Démarrage du serveur HTTP...
Запустить МТР соединение,Démarrer la connexion MTP
Запустить случайную игру,Lancer un jeu aléatoire
Заряд батареи                  : {},Charge de la batterie          : {}
Здесь пусто,Rien ici
Игра анонсирует SDK {},Le jeu annonce le SDK {}
