original,translation
Успешно разобран как PFS0 файл,Analizado correctamente como archivo PFS0
Устанавливается {},Instalando {}
Установить как аватар...,Establecer como avatar...
Установка,Instalación
Установка анлокера...,Instalando unlocker...
Установка завершена,Instalación completa
Установка игр (NAND),Instalar juegos (NAND)
Установка игр (SD Card),Instalación de juegos (Tarjeta SD)
Установка игры завершена,Instalación del juego completa
Установка обновлений игр,Instalar actualizaciones de juegos
Установка прервана,Instalación interrumpida
Установка тайтлов ({}/{}),Instalando títulos ({}/{})
USB Соединение,Conexión USB
Установка ярлыка...,Instalando acceso directo...
Установлен,Instalado
Установленные,Instalados
Установленные homebrew,Homebrew instalado
Установленные homebrew ({}),Homebrew instalado ({})
Установленные игры,Juegos instalados
Установленные тикеты,Tickets instalados
Установленные тикеты ({}),Tickets instalados ({})
Файл повреждён и не может быть установлен. Не найдена сигнатура HEAD,El archivo está dañado y no se puede instalar. Firma HEAD no encontrada
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе root,El archivo está dañado y no se puede instalar. Firma HFS0 no encontrada en la partición root
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе secure,El archivo está dañado y no se puede instalar. Firma HFS0 no encontrada en la partición secure
Файл повреждён и не может быть установлен. Не найдена сигнатура PFS0,El archivo está dañado y no se puede instalar. No se encontró la firma PFS0
Файл слишком большой для хранилища,El archivo es demasiado grande para el almacenamiento
Файл: {},Archivo: {}
Фиксация ФС...,Confirmación del sistema de archivos...
Финальный размер: {},Tamaño final: {}
Формирование списка...,Generando lista...
Форсированный язык    : {},Idioma forzado            : {}
Форсированный язык    : {} ({}),Idioma forzado            : {} ({})
Форсировать язык,Forzar idioma
Французский,Francés
"Х:{}, Т:{}, РЦ:{}","H:{}, T:{}, R:{}"
Хранилища MTP,Almacenamiento MTP
Хранилище только для чтения,Almacenamiento de solo lectura
Целевая запись о контенте не найдена,Registro de contenido de destino no encontrado
ЧАСТЬ КОНТЕНТА ОТСУТСТВУЕТ. ИГРА НЕ БУДЕТ РАБОТАТЬ,FALTA PARTE DEL CONTENIDO. EL JUEGO NO FUNCIONARÁ
Число транзисторов: {:>3},Número de transistores: {:>3}
Число уникальных сыграных игр : {},Número de juegos únicos jugados  : {}
Число ходов:        {:>3},Número de movimientos:  {:>3}
Чтение каталога...,Leyendo directorio...
Чтение списка файлов...,Leyendo lista de archivos...
Что-то плохое грядёт,Algo malo se acerca
Что-то пошло не так. Пропускаем оставшийся файл,Algo salió mal. Saltando el archivo restante
"Чтобы вернуться, нажмите B",Presiona B para volver
Шадок у Гиби,Shadok en Gibi
Экспорт SDK,Exportación de SDK
Экспортировать,Exportar
Экспортировать SDK,Exportar SDK
Январь,Enero
Японский,Japonés
Ярлык для DBI,Acceso directo para DBI
да,sí
не является LFS папкой,no es una carpeta LFS
не является LFS папкой игры,no es una carpeta de juego LFS
нет,no
"ZL/ZR - смена даты, Y - период","ZL/ZR - cambiar fecha, Y - periodo"
"Получено: {}, (скорость не определена)","Recibido: {}, (velocidad no definida)"
Игры добавлены в список исключений,Juegos añadidos a la lista de exclusión
Новых игр в список исключений добавлено не было,No se han añadido nuevos juegos a la lista de exclusión
Просмотр МТР устройства [{}],Viendo dispositivo MTP [{}]
Просмотр USB диска [{}],Viendo unidad USB [{}]
Заряд батареи (сырое значение) : {},Carga de batería (valor bruto) : {}
ru,es419
[CRC ОШИБКА ФАЙЛА],[ERROR DE CRC DE ARCHIVO]
Будет скачана и установлена прошивка системы из файла {}.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены,El firmware del sistema se descargará e instalará desde el archivo {}.\n\nPulsa (+) para continuar\nCualquier otro botón para cancelar
Распаковка архива не удалась,La extracción del archivo falló
Сканирование архива не удалось,El escaneo del archivo falló
Установить все обновления из этой папки,Instalar todas las actualizaciones de esta carpeta
Япония,Japón
Русский,Ruso
Февраль,Febrero
Октябрь,Octubre
[HASH MISMATCH: GC ➡ eShop],[HASH MISMATCH: GC ➡ eShop]
Ноябрь,Noviembre
Игрок,Jugador
Время,Tiempo
Контент,Contenido
[HASH: OK],[HASH: OK]
Красная,Roja
[HASH MISMATCH: Неисправимо],[DESAJUSTE DE HASH: Irrecuperable]
[ПРЕД],[ANT]
Альбом,Álbum
Выход,Salir
и т.д...,etc...
{} бекап,{} copia de seguridad
874,874
Пишется тело: {}/{}MB \r,Escribiendo cuerpo: {}/{}MB \r
Пишется скриншот\n,Escribiendo captura de pantalla\n
Пишется таблица хешей\n,Escribiendo tabla hash\n
Пишется подпись видео\n,Escribiendo firma de video\n
Операция завершена\n,Operación completada\n
"Будет скачана и установлена прошивка системы из файла {}.\n\nВНИМАНИЕ!!! Похоже, эта версия не поддерживается текущей атмосферой.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены",El firmware del sistema se descargará e instalará desde el archivo {}.\n\n¡¡¡ATENCIÓN!!! Parece que esta versión no es compatible con la versión actual de Atmosphere.\n\nPulsa (+) para continuar\nPulsa cualquier otro botón para cancelar
Копирование файла не удалось,Error al copiar el archivo
Daybreak.nro не найден,Daybreak.nro no encontrado
Изображение добавлено в альбом,Imagen añadida al álbum
Ошибка добавления изобржения в альбом: {},Error al añadir la imagen al álbum: {}
Добавить в альбом,Añadir al álbum
Анализ mp4 файла,Analizando archivo mp4
Длительность: {},Duración: {}
ОШИБКА! Файл не содержит один видео трек,¡ERROR! El archivo no contiene una pista de video
ОШИБКА! Файл не содержит один аудио трек,¡ERROR! El archivo no contiene una pista de audio
ОШИБКА! У видео трека неподдерживаемый кодек,¡ERROR! La pista de video tiene un códec no compatible
ОШИБКА! У аудио трека неподдерживаемый кодек,¡ERROR! La pista de audio tiene un códec no compatible
ОШИБКА! Аудио трек не стерео,¡ERROR! La pista de audio no es estéreo
[{}] Общий тикет для {},[{}] Ticket común para {}
ОШИБКА! У аудио трека неподходящая частота дискретизации,¡ERROR! La pista de audio tiene una frecuencia de muestreo inadecuada
ОШИБКА! У видео трека неподходящая ширина,¡ERROR! La pista de video tiene un ancho inadecuado
ОШИБКА! У видео трека неподходящая высота,¡ERROR! La pista de video tiene una altura inadecuada
ВНИМАНИЕ! Возможно видео поток содержит B-Frames. Файл может не воспроизводиться,¡ATENCIÓN! El flujo de video podría contener B-Frames. Es posible que el archivo no se reproduzca
"Похоже, это не MP4 файл",Parece que este no es un archivo MP4
Открыть как RomFS,Abrir como RomFS
\x1b[31;1mГ\x1b[37;1m,\x1b[31;1mГ\x1b[37;1m
\x1b[32;1mШ\x1b[37;1m,\x1b[32;1mШ\x1b[37;1m
Ваша SD карта является подделкой. Рекомендуется заменить SD карту на проверенную.,Tu tarjeta SD es falsa. Se recomienda reemplazar la tarjeta SD por una verificada.
[{}] Персональный тикет для {},[{}] Ticket personal para {}
Кажется ваша SD карта является подделкой.\n\nВозможны проблемы с установкой игр.\nВ этом случае рекомендуется заменить SD карту на проверенную.,"Parece que tu tarjeta SD es falsa.\n\nPueden surgir problemas con la instalación de juegos.\nEn este caso, se recomienda reemplazar la tarjeta SD por una verificada."
Информация о SD карте,Información de la tarjeta SD
[ПОДПИСЬ: DBI],[FIRMA: DBI]
.    Время игры    \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,.    Tiempo de juego    \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
"ZL/ZR смена даты, Y период, X сортировка, (+) выбрать пользователя","ZL/ZR cambiar fecha, Y período, X ordenar, (+) seleccionar usuario"
[{}МБ] {}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,[{}MB] {}MB de {}MB ({:.2f} MB/seg)\x1b[0K\r
"X выбор, Y обратить выбор, (+) меню, R3 сортировка, L3 запуск","X seleccionar, Y invertir selección, (+) menú, R3 ordenar, L3 iniciar"
Создать все известные ({}),Crear todos los conocidos ({})
"X выбор, Y обратить выбор, (+) меню, L3 запуск","X seleccionar, Y invertir selección, (+) menú, L3 iniciar"
"DPAD или стики для перемещения, (+) Настройки","DPAD o sticks para moverse, (+) Configuración"
Просмотр HTTP/FTP/Github сервера...,Explorando servidor HTTP/FTP/Github...
"X выбор, Y обратить выбор, (+) меню, R3 сортировка","X seleccionar, Y invertir selección, (+) menú, R3 ordenar"
"X выбор, Y обр. выбор, (+) меню","X seleccionar, Y invertir selección, (+) menú"
"X выбор, Y обратить выбор, A открыть, (-) 2ая панель, (+) меню","X seleccionar, Y invertir selección, A abrir, (-) 2º panel, (+) menú"
"X выбор, Y обр. выбор, ⬅/➡ смена панели, (-) закрыть, (+) меню","X seleccionar, Y deseleccionar, ⬅/➡ cambiar panel, (-) cerrar, (+) menú"
[ДЕЛЬТА ФРАГМЕНТ НЕ НУЖЕН],[FRAGMENTO DELTA NO NECESARIO]
[КОНТЕНТ ОТСУТСТВУЕТ],[CONTENIDO AUSENTE]
[НЕ СОЗДАТЬ ПЛЕЙСХОЛДЕР],[NO CREAR MARCADOR]
[НЕДОСТАТОЧНО МЕСТА],[NO HAY SUFICIENTE ESPACIO]
[НЕИЗВЕСТНОЕ СЖАТИЕ],[COMPRESIÓN DESCONOCIDA]
[ОТСУТСТВУЕТ],[FALTA]
[ОШБК],[ERROR]
[ОШИБКА NCA MAGIC],[ERROR NCA MAGIC]
[ОШИБКА ЗАПИСИ В ПЛЕЙСХОЛДЕР],[ERROR DE ESCRITURA EN MARCADOR]
[ОШИБКА РАСПАКОВКИ ZSTD: {}],[ERROR DE DESCOMPRESIÓN ZSTD: {}]
[ОШИБКА РАСПАКОВКИ],[ERROR DE EXTRACCIÓN]
[ОШИБКА],[ERROR]
[ОШИБКА] Отсутствует URL списка обновлений,[ERROR] Falta la URL de la lista de actualizaciones
[ПЕРЕДАЧА OK],[TRANSFERENCIA OK]
[ПЕРЕДАЧА ПРЕРВАНА],[TRANSFERENCIA INTERRUMPIDA]
[ПОВРЕЖДЁННЫЙ NCA],[NCA CORRUPTO]
[ПОДПИСЬ: OK],[FIRMA: OK]
[ПОДПИСЬ: XCI➡NSP],[FIRMA: XCI➡NSP]
[ПОДПИСЬ: Поддельная],[FIRMA: Falsa]
[СТАРАЯ ПРОШИВКА],[FIRMWARE ANTIGUO]
[ТРЕБУЕТСЯ РЕЖИМ ТАЙТЛА],[MODO TÍTULO REQUERIDO]
[ФАЙЛ ПОВРЕЖДЁН],[ARCHIVO DAÑADO]
[ХЕШ ИСПРАВЛЕН],[HASH CORREGIDO]
[ХЕШ НЕ СОВПАДАЕТ],[HASH NO COINCIDE]
\nНачало обработки dlc {}: {:016X},\nIniciando procesamiento de DLC {}: {:016X}
\nНачало обработки программы {},\nIniciando procesamiento de la aplicación {}
\nНачало создания Data.nca,\nIniciando creación de Data.nca
\nНачало создания Meta.nca,\nIniciando creación de Meta.nca
\nОшибка USB обмена,\nError de transferencia USB
\nСборка PFS0,\nConstruyendo PFS0
\nСборка RomFS,\nConstruyendo RomFS
\nСекция 0,\nSección 0
\nСекция 1,\nSección 1
\nСекция 2,\nSección 2
\nСоздан NSP: {},\nNSP creado: {}
\nШифрование NCA,\nCifrado NCA
{:04d} {} {:02d}. Всего: {} час,{:04d} {} {:02d}. Total: {} hrs
{:04d} {} {:02d}. Всего: {} часа,{:04d} {} {:02d}. Total: {} horas
{:04d} {} {:02d}. Всего: {} часов,{:04d} {} {:02d}. Total: {} horas
{:4d} {}. Всего: {} час,{:4d} {}. Total: {} hrs
{:4d} {}. Всего: {} часа,{:4d} {}. Total: {} horas
{:4d} {}. Всего: {} часов,{:4d} {}. Total: {} horas
{:4d}. Всего: {} час,{:4d}. Total: {} hrs
{:4d}. Всего: {} часа,{:4d}. Total: {} horas
{:4d}. Всего: {} часов,{:4d}. Total: {} horas
{:>3} {}{:<50}\x1b[37;1m {:>10},{:>3} {}{:<50}\x1b[37;1m {:>10}
{:>6} объектов обработано. {:>5} записей найдено...\r,{:>6} objetos procesados. {:>5} entradas encontradas...\r
{:>6}/{}kB уже скачано...\r,{:>6}/{}kB ya descargado...\r
{} cохранение,{} guardado
{} cохранений,{} guardado
{} cохранения,{} datos de guardado
{} бекапа,{} copia de seguridad
{} бекапов,{} copias de seguridad
{} записей ({}),{} entradas ({})
{} записи ({}),{} entradas ({})
{} запись ({}),{} entrada ({})
{} игр ({}),{} juegos ({})
{} игра ({}),{} juego ({})
{} игры ({}),{} juegos ({})
{} сохранение,{} guardado
{} сохранений,{} guardados
{} сохранения,{} datos de guardado
{} тикет,{} ticket
{} тикета,{} tickets
{} тикетов,{} tickets
{}-{} FW:{}{} SDK:{},{}-{} FW:{}{} SDK:{}
"{}/{} MB (Ср: {:.1f} MB/sec, Тек: {:.1f} MB/sec) Ост. {:02d}:{:02d}      \r","{}/{} MB (Prom: {:.1f} MB/s, Act: {:.1f} MB/s) Rest. {:02d}:{:02d}      \r"
"{}/{} МБ, {:.2f} МБ/сек","{}/{} MB, {:.2f} MB/seg"
{}: {} потерянная запись,{}: {} entrada huérfana
{}: {} потерянных записей,{}: {} entradas perdidas
{}: {} потерянных записи,{}: {} entradas perdidas
{}: {}/{} ({:.2f} МБ/сек),{}: {}/{} ({:.2f} MB/seg)
{}: {}/{} ({}%) ({:.2f} МБ/сек),{}: {}/{} ({}%) ({:.2f} MB/s)
{}: пропускается {}/{} ({:.2f} МБ/сек),{}: omitiendo {}/{} ({:.2f} MB/seg)
"{}\n\nВосстановление бекапа не удалось\n\nНажмите A - прервать, другая кнопка - продолжить","{}\n\nError al restaurar la copia de seguridad\n\nPresiona A para cancelar, otro botón para continuar"
{}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,{}MB de {}MB ({:.2f} MB/seg)\x1b[0K\r
АВТО,AUTO
Аватар установлен,Avatar establecido
Август,Agosto
Австралия,Australia
Автозапуск MTP,Inicio automático de MTP
Автозапуск списка homebrew,Inicio automático de lista homebrew
Агрументы для ярлыка,Argumentos del acceso directo
Адрес FTP сервера: {},Dirección del servidor FTP: {}
Адрес HTTP сервера: {},Dirección del servidor HTTP: {}
Альбом (0°),Álbum (0°)
Американский английский,Inglés americano
Апрель,Abril
База этой игры не самодостаточна. Не забудьте установить обновление,La base de este juego no es autosuficiente. No olvides instalar la actualización
Бекапы,Copias de seguridad
Бекапы сохранений ({}),Copias de seguridad de datos de guardado ({})
Британский английский,Inglés británico
В альбоме найден {} объект,{} objeto encontrado en el álbum
В альбоме найдено {} объекта,Se encontraron {} objetos en el álbum
В альбоме найдено {} объектов,{} objetos encontrados en el álbum
В альбоме отсутствуют объекты,No hay objetos en el álbum
В файле /switch/prod.keys отсутствуют необходимые ключи.\n\nЧасть функций программы будет недоступна.\n\nПерегрузитесь в Hekate и используйте Lockpick_RCM.bin пейлоад\nдля дампа ключей из SysNAND.,Faltan las claves necesarias en el archivo /switch/prod.keys.\n\nAlgunas funciones de la aplicación no estarán disponibles.\n\nReinicia en Hekate y usa el payload Lockpick_RCM.bin\npara volcar las claves de SysNAND.
ВНИМАНИЕ! Тайтл {:016X} не установлен,¡ATENCIÓN! El título {:016X} no está instalado
ВНИМАНИЕ! Установленная версия ({}) не совпадает с желаемой ({}),¡ATENCIÓN! La versión instalada ({}) no coincide con la deseada ({})
ВО ВРЕМЯ ПЕРЕДАЧИ ФАЙЛА НАЙДЕНЫ ОШИБКИ. УСТАНОВКА ПРЕРВАНА,SE ENCONTRARON ERRORES DURANTE LA TRANSFERENCIA DE ARCHIVOS. INSTALACIÓN CANCELADA
Введите URL сервера (HTTP или (S)FTP),Ingresa la URL del servidor (HTTP o (S)FTP)
Введите агрументы для ярлыка или оставьте пустым,Ingresa argumentos para el acceso directo o déjalo vacío
Введите желаемый номер страницы,Ingresa el número de página deseado
Введите новое имя,Ingresa un nuevo nombre
Введите новое имя каталога,Ingresa el nuevo nombre del directorio
Введите новое имя файла,Ingresa el nuevo nombre del archivo
Введите номер DLC,Ingresa el número de DLC
Версия {} [v{}],Versión {} [v{}]
Вместо пользователя {} использовать:,Usar en lugar del usuario {}:
Внимание!\nНекоторые файлы были заблокированы и поэтому пропущены.,¡Atención!\nAlgunos archivos estaban bloqueados y por lo tanto se omitieron.
Во время разбора\n\n{}\n\nвозникла следующая ошибка:\n\n{},Durante el análisis de\n\n{}\n\nocurrió el siguiente error:\n\n{}
Во время установки тикетов были ошибки. Проверьте наличие ES сигпатчей,Ocurrieron errores durante la instalación de tickets. Verifique la presencia de parches de firma ES
Во время экспорта были ошибки,Ocurrieron errores durante la exportación
Возраст батареи                : {},Antigüedad de la batería              : {}
Возрастной рейтинг,Clasificación por edad
Восстановить,Restaurar
Восстановить бекап...,Restaurar copia de seguridad...
Восстановить для...,Restaurar para...
Восстановить как бекап сохранения,Restaurar como respaldo de guardado
Восстановление бекапа,Restaurando copia de seguridad
Восстановление не удалось,Recuperación fallida
Восстановление успешно,Restauración exitosa
Восстановление: {},Restaurando: {}
Время игры: {:02}:{:02}:{:02},Tiempo de juego: {:02}:{:02}:{:02}
Время передачи {:d}:{:02d}:{:02d},Tiempo de transferencia {:d}:{:02d}:{:02d}
Все игровые сессии,Todas las sesiones de juego
Все игроки,Todos los jugadores
Все объекты,Todos los objetos
Все файлы в порядке,Todos los archivos están bien
Всего {} байт получен,{} bytes recibidos
Всего {} байт послан,{} bytes enviados
Всего {} байта получено,{} bytes recibidos en total
 Да, Sí
Всего {} байта послано,{} bytes enviados
Всего {} байтов получено,{} bytes recibidos en total
Всего {} байтов послано,{} bytes enviados
Всего записей: {},Total de entradas: {}
Всего отослано: {} ({}/сек),Total enviado: {} ({}/seg)
Всего программ: {},Total de títulos: {}
Вставить,Insertar
Вставка...,Insertando...
Всё время. Всего: {} час,Todo el tiempo. Total: {} horas
Всё время. Всего: {} часа,Todo el tiempo. Total: {} horas
Всё время. Всего: {} часов,Todo el tiempo. Total: {} horas
Вы собираетесь удалить следующие бекапы:,Está por eliminar las siguientes copias de seguridad:
Вы собираетесь удалить следующие игры:,Está a punto de eliminar los siguientes juegos:
Вы собираетесь удалить следующие сохранения:,Está a punto de eliminar los siguientes datos guardados:
Вы собираетесь удалить следующие тикеты:,Está a punto de eliminar los siguientes tickets:
Вы уверены в удалении {} записей?\n\n(+) - ДА   B - Отмена,¿Está seguro de que desea eliminar {} entradas?\n\n(+) - SÍ   B - Cancelar
Вы уверены в удалении {} записи?\n\n(+) - ДА   B - Отмена,¿Está seguro de que desea eliminar {} entrada?\n\n(+) - SÍ   B - Cancelar
Вы уверены в удалении {} объекта?\n\n(+) - ДА   B - Отмена,¿Está seguro de que desea eliminar {} objeto?\n\n(+) - SÍ   B - Cancelar
Вы уверены в удалении {} объектов?\n\n(+) - ДА   B - Отмена,¿Está seguro de que desea eliminar {} objetos?\n\n(+) - SÍ   B - Cancelar
"Вы уверены, что хотите удалить {}?\n\n(+) - ДА, другая кнопка - НЕТ","¿Está seguro de que desea eliminar {}?\n\n(+) - SÍ, otro botón - NO"
"Вы уверены, что хотите удалить\n{}?\n\n(+) - ДА  В - Отмена",¿Está seguro de que desea eliminar\n{}?\n\n(+) - SÍ  B - Cancelar
Выберите пользователя,Seleccionar usuario
Выберите тип сохранения,Seleccionar tipo de guardado
Выбрать все файлы игры,Seleccionar todos los archivos del juego
Выбрать того же пользователя,Seleccionar el mismo usuario
Выбрать ту же игру,Seleccionar el mismo juego
Вырезать,Cortar
Вычисление хэша,Calculando hash
Вычисленное время конца : {},Tiempo de finalización calculado : {}
Вычисленное время начала: {},Hora de inicio calculada: {}
Генерация DLC [{:016X}][v{}],Generando DLC [{:016X}][v{}]
Генерация DLC анлокера...,Generando desbloqueador de DLC...
Генерируется анлокер для {:016X} с номером {} и версией {}...,Generando desbloqueador para {:016X} con número {} y versión {}...
Генерируется ярлык для пути '{}' и аргументов '{}'...,Generando acceso directo para la ruta '{}' y argumentos '{}'...
Главное меню,Menú principal
Голландский,Neerlandés
"Да, я уверен","Sí, estoy seguro"
Дамп анлокера в '{}'...,Volcando desbloqueador en '{}'...
Дамп текущей прошивки,Volcar firmware actual
Дамп ярлыка в '{}'...,Volcando acceso directo en '{}'...
Действия с файлами,Operaciones de archivos
Действия с файлами ({}),Acciones de archivo ({})
Декабрь,Diciembre
День,Día
Диаграмма активности,Gráfico de actividad
Для бекапов,Para copias de seguridad
Для выхода нажмите любую кнопку,Presiona cualquier botón para salir
Для дампов,Para volcados
Для логов,Para registros
Добавить в любимые,Agregar a favoritos
Европа,Europa
"Есть несохранёные изменения.\nВы хотите их сохранить?\n\n(+) - Да, сохранить\n\n(-) - Выйти без сохранения\n\nДругая кнопка - Отмена","Hay cambios sin guardar.\n¿Desea guardarlos?\n\n(+) - Sí, guardar\n\n(-) - Salir sin guardar\n\nOtro botón - Cancelar"
Желаемая версия: {},Versión deseada: {}
Журнал активности,Registro de actividad
Завершено,Completado
Загружается список обновлений...,Cargando lista de actualizaciones...
Загрузка изображения...,Cargando imagen...
Загрузка текста...{}%,Cargando texto...{}%
Загрузка файла... {}%,Cargando archivo... {}%
Задать размер файла {} не удалось: {},No se pudo establecer el tamaño del archivo {}: {}
Закончено за {:02d}:{:02d}:{:02d},Completado en {:02d}:{:02d}:{:02d}
Закончилась память при посылке ответа,Memoria agotada al enviar respuesta
Закончились дополнительные буферы. Скорость записи на носитель слишком низка,Búferes adicionales agotados. La velocidad de escritura en el almacenamiento es demasiado baja
Закрытие соединения,Cerrando conexión
Закрытие соединения к {}:{},Cerrando conexión a {}:{}
Запаковать LFS в romfs.bin,Empaquetar LFS en romfs.bin
Запаковать в romfs.bin,Empaquetar en romfs.bin
Запаковка папки в RomFS,Empaquetando carpeta en RomFS
Записанное время конца  : {},Hora de finalización registrada  : {}
Записанное время начала : {},Hora de inicio registrada : {}
Запись в файл...,Escribiendo en archivo...
Запись за пределами файла,Escritura más allá del archivo
Заполнение нулями,Rellenar con ceros
Заполнить свободное место на SD нулями,Rellenar espacio libre en SD con ceros
Запрет захвата видео,Prohibir captura de video
Запрет скриншотов,Prohibición de capturas
Запрещено,Prohibido
Запускавшиеся игры,Juegos ejecutados
Запустить FTP сервер...,Iniciar servidor FTP...
Запустить HTTP сервер...,Iniciando servidor HTTP...
Запустить МТР соединение,Iniciar conexión MTP
Запустить случайную игру,Iniciar juego aleatorio
Заряд батареи                  : {},Carga de batería               : {}
Здесь пусто,Aquí no hay nada
Игра анонсирует SDK {},El juego anuncia SDK {}
"Игра анонсирует более новый SDK ({}), чем текущая прошивка ({})",El juego requiere un SDK más nuevo ({}) que el firmware actual ({})
Игра использует titleId от дополнения,El juego usa el titleId del DLC
Игра использует titleId от обновления,El juego usa el titleId de la actualización
Извлечь в LFS,Extraer a LFS
Изменение размера сохранения на {} [{}]...,Cambiando tamaño de guardado a {} [{}]...
Изменить версию DLC (десятичную),Cambiar versión de DLC (decimal)
Изменить номер DLC (десятичный),Cambiar número de DLC (decimal)
Изменить номер DLC (шестнадцатеричный),Cambiar número de DLC (hexadecimal)
Изменён размер SaveFS,Tamaño de SaveFS modificado
