original,translation
Кажется ваша SD карта является подделкой.\n\nВозможны проблемы с установкой игр.\nВ этом случае рекомендуется заменить SD карту на проверенную.,SDカードが偽造品のようです。\n\nゲームのインストールに問題が発生する可能性があります。\nこの場合、SDカードを確認済みのものに交換することをお勧めします。
Информация о SD карте,SDカード情報
[ПОДПИСЬ: DBI],[署名: DBI]
.    Время игры    \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,.    プレイ時間    \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
"ZL/ZR смена даты, Y период, X сортировка, (+) выбрать пользователя",ZL/ZR 日付変更、Y 期間、X 並び替え、(+) ユーザー選択
[{}МБ] {}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,[{}MB] {}MB / {}MB ({:.2f} MB/秒)\x1b[0K\r
"X выбор, Y обратить выбор, (+) меню, R3 сортировка, L3 запуск",X 選択、Y 選択反転、(+) メニュー、R3 並び替え、L3 起動
Создать все известные ({}),既知のものをすべて作成 ({})
"X выбор, Y обратить выбор, (+) меню, L3 запуск",X 選択、Y 選択反転、(+) メニュー、L3 起動
"DPAD или стики для перемещения, (+) Настройки",DPAD またはスティックで移動、(+) 設定
Просмотр HTTP/FTP/Github сервера...,HTTP/FTP/Githubサーバーを閲覧中...
"X выбор, Y обратить выбор, (+) меню, R3 сортировка",X 選択、Y 選択反転、(+) メニュー、R3 並び替え
"X выбор, Y обр. выбор, (+) меню",X 選択、Y 選択反転、(+) メニュー
"X выбор, Y обратить выбор, A открыть, (-) 2ая панель, (+) меню",X 選択、Y 選択反転、A 開く、(-) 2番目のパネル、(+) メニュー
"X выбор, Y обр. выбор, ⬅/➡ смена панели, (-) закрыть, (+) меню",X 選択、Y 選択解除、⬅/➡ パネル切替、(-) 閉じる、(+) メニュー
[ДЕЛЬТА ФРАГМЕНТ НЕ НУЖЕН],[デルタフラグメント不要]
[КОНТЕНТ ОТСУТСТВУЕТ],[コンテンツがありません]
[НЕ СОЗДАТЬ ПЛЕЙСХОЛДЕР],[プレースホルダーを作成しない]
[НЕДОСТАТОЧНО МЕСТА],[容量不足]
[НЕИЗВЕСТНОЕ СЖАТИЕ],[不明な圧縮]
[ОТСУТСТВУЕТ],[欠落]
[ОШБК],[エラー]
[ОШИБКА NCA MAGIC],[NCA MAGICエラー]
[ОШИБКА ЗАПИСИ В ПЛЕЙСХОЛДЕР],[プレースホルダー書き込みエラー]
[ОШИБКА РАСПАКОВКИ ZSTD: {}],[ZSTD展開エラー: {}]
[ОШИБКА РАСПАКОВКИ],[展開エラー]
[ОШИБКА],[エラー]
[ОШИБКА] Отсутствует URL списка обновлений,[エラー] アップデートリストのURLがありません
[ПЕРЕДАЧА OK],[転送 OK]
[ПЕРЕДАЧА ПРЕРВАНА],[転送が中断されました]
[ПОВРЕЖДЁННЫЙ NCA],[破損したNCA]
[ПОДПИСЬ: OK],[署名: OK]
[ПОДПИСЬ: XCI➡NSP],[署名: XCI➡NSP]
[ПОДПИСЬ: Поддельная],[署名: 偽造]
[СТАРАЯ ПРОШИВКА],[古いファームウェア]
[ТРЕБУЕТСЯ РЕЖИМ ТАЙТЛА],[タイトルモードが必要です]
[ФАЙЛ ПОВРЕЖДЁН],[ファイル破損]
[ХЕШ ИСПРАВЛЕН],[ハッシュ修正済み]
[ХЕШ НЕ СОВПАДАЕТ],[ハッシュが一致しません]
\nНачало обработки dlc {}: {:016X},\nDLC処理を開始 {}: {:016X}
\nНачало обработки программы {},\nアプリケーション {} の処理を開始
\nНачало создания Data.nca,\nData.nca作成開始
\nНачало создания Meta.nca,\nMeta.nca作成開始
\nОшибка USB обмена,\nUSB転送エラー
\nСборка PFS0,\nPFS0ビルド中
\nСборка RomFS,\nRomFSをビルド中
\nСекция 0,\nセクション 0
\nСекция 1,\nセクション 1
\nСекция 2,\nセクション 2
\nСоздан NSP: {},\nNSPを作成しました: {}
\nШифрование NCA,\nNCA暗号化
{:04d} {} {:02d}. Всего: {} час,{:04d} {} {:02d}. 合計: {} 時間
{:04d} {} {:02d}. Всего: {} часа,{:04d} {} {:02d}. 合計: {} 時間
{:04d} {} {:02d}. Всего: {} часов,{:04d} {} {:02d}. 合計: {} 時間
{:4d} {}. Всего: {} час,{:4d} {}. 合計: {} 時間
{:4d} {}. Всего: {} часа,{:4d} {}. 合計: {} 時間
{:4d} {}. Всего: {} часов,{:4d} {}. 合計: {} 時間
{:4d}. Всего: {} час,{:4d}. 合計: {} 時間
{:4d}. Всего: {} часа,{:4d}. 合計: {} 時間
{:4d}. Всего: {} часов,{:4d}. 合計: {} 時間
{:>3} {}{:<50}\x1b[37;1m {:>10},{:>3} {}{:<50}\x1b[37;1m {:>10}
{:>6} объектов обработано. {:>5} записей найдено...\r,{:>6} 個のオブジェクトを処理しました。{:>5} 件のエントリが見つかりました...\r
{:>6}/{}kB уже скачано...\r,{:>6}/{}kB ダウンロード済み...\r
{} cохранение,{} セーブ
{} cохранений,{} 保存されました
{} cохранения,{} セーブデータ
{} бекапа,{} バックアップ
{} бекапов,{} バックアップ
{} записей ({}),{} 件のエントリ ({})
{} записи ({}),{} エントリ ({})
{} запись ({}),{} エントリ ({})
{} игр ({}),{}ゲーム ({})
{} игра ({}),{} ゲーム ({})
{} игры ({}),{}ゲーム ({})
{} сохранение,{} セーブ
{} сохранений,{} セーブ
{} сохранения,{} セーブデータ
{} тикет,{} チケット
{} тикета,{} チケット
{} тикетов,{}チケット
{}-{} FW:{}{} SDK:{},{}-{} FW:{}{} SDK:{}
"{}/{} MB (Ср: {:.1f} MB/sec, Тек: {:.1f} MB/sec) Ост. {:02d}:{:02d}      \r","{}/{} MB (平均: {:.1f} MB/秒, 現在: {:.1f} MB/秒) 残り {:02d}:{:02d}      \r"
"{}/{} МБ, {:.2f} МБ/сек",{}/{} MB、{:.2f} MB/秒
{}: {} потерянная запись,{}: {} 孤立エントリ
{}: {} потерянных записей,{}: {} 個の失われたエントリ
{}: {} потерянных записи,{}: {} 個の失われたエントリ
{}: {}/{} ({:.2f} МБ/сек),{}: {}/{} ({:.2f} MB/秒)
{}: {}/{} ({}%) ({:.2f} МБ/сек),{}: {}/{} ({}%) ({:.2f} MB/秒)
{}: пропускается {}/{} ({:.2f} МБ/сек),{}: スキップ中 {}/{} ({:.2f} MB/秒)
"{}\n\nВосстановление бекапа не удалось\n\nНажмите A - прервать, другая кнопка - продолжить",{}\n\nバックアップの復元に失敗しました\n\nAボタンで中止、他のボタンで続行
{}МБ из {}МБ ({:.2f} МБ/сек)\x1b[0K\r,{}MB / {}MB ({:.2f} MB/秒)\x1b[0K\r
АВТО,自動
Аватар установлен,アバターを設定しました
Август,8月
Австралия,オーストラリア
Автозапуск MTP,MTP自動起動
Автозапуск списка homebrew,Homebrewリストの自動起動
Агрументы для ярлыка,ショートカットの引数
Адрес FTP сервера: {},FTPサーバーアドレス: {}
Адрес HTTP сервера: {},HTTPサーバーアドレス: {}
Альбом (0°),アルバム (0°)
Американский английский,アメリカ英語
Апрель,4月
База этой игры не самодостаточна. Не забудьте установить обновление,このゲームのベースは自己完結していません。アップデートのインストールを忘れないでください
Бекапы,バックアップ
Бекапы сохранений ({}),セーブデータのバックアップ ({})
Британский английский,イギリス英語
В альбоме найден {} объект,アルバムに{}個のオブジェクトが見つかりました
В альбоме найдено {} объекта,アルバムに{}個のオブジェクトが見つかりました
В альбоме найдено {} объектов,アルバムに{}個のオブジェクトが見つかりました
В альбоме отсутствуют объекты,アルバムにオブジェクトがありません
В файле /switch/prod.keys отсутствуют необходимые ключи.\n\nЧасть функций программы будет недоступна.\n\nПерегрузитесь в Hekate и используйте Lockpick_RCM.bin пейлоад\nдля дампа ключей из SysNAND.,/switch/prod.keysファイルに必要なキーがありません。\n\nアプリケーションの一部機能が利用できません。\n\nHekateに再起動し、Lockpick_RCM.binペイロードを使用して\nSysNANDからキーをダンプしてください。
ВНИМАНИЕ! Тайтл {:016X} не установлен,警告！タイトル {:016X} はインストールされていません
ВНИМАНИЕ! Установленная версия ({}) не совпадает с желаемой ({}),警告！インストールされたバージョン ({}) が目的のバージョン ({}) と一致しません
ВО ВРЕМЯ ПЕРЕДАЧИ ФАЙЛА НАЙДЕНЫ ОШИБКИ. УСТАНОВКА ПРЕРВАНА,ファイル転送中にエラーが見つかりました。インストールを中止しました
Введите URL сервера (HTTP или (S)FTP),サーバーのURLを入力 (HTTP または (S)FTP)
Введите агрументы для ярлыка или оставьте пустым,ショートカットの引数を入力するか、空のままにしてください
Введите желаемый номер страницы,希望のページ番号を入力してください
Введите новое имя,新しい名前を入力
Введите новое имя каталога,新しいディレクトリ名を入力
Введите новое имя файла,新しいファイル名を入力
Введите номер DLC,DLC番号を入力
Версия {} [v{}],バージョン {} [v{}]
Вместо пользователя {} использовать:,ユーザー {} の代わりに使用:
Внимание!\nНекоторые файлы были заблокированы и поэтому пропущены.,警告!\n一部のファイルがロックされていたため、スキップされました。
Во время разбора\n\n{}\n\nвозникла следующая ошибка:\n\n{},解析中\n\n{}\n\n次のエラーが発生しました:\n\n{}
Во время установки тикетов были ошибки. Проверьте наличие ES сигпатчей,チケットのインストール中にエラーが発生しました。ESシグパッチの有無を確認してください
Во время экспорта были ошибки,エクスポート中にエラーが発生しました
Возраст батареи                : {},バッテリー経過時間    : {}
Возрастной рейтинг,年齢区分
Восстановить,復元
Восстановить бекап...,バックアップを復元...
Восстановить для...,復元先...
Восстановить как бекап сохранения,セーブデータのバックアップとして復元
Восстановление бекапа,バックアップを復元中
Восстановление не удалось,復元に失敗しました
Восстановление успешно,復元に成功しました
Восстановление: {},復元中: {}
Время игры: {:02}:{:02}:{:02},プレイ時間: {:02}:{:02}:{:02}
Время передачи {:d}:{:02d}:{:02d},転送時間 {:d}:{:02d}:{:02d}
Все игровые сессии,すべてのゲームセッション
Все игроки,すべてのプレイヤー
Все объекты,すべてのオブジェクト
Все файлы в порядке,すべてのファイルは正常です
Всего {} байт получен,{}バイト受信しました
Всего {} байт послан,{}バイト送信済み
Всего {} байта получено,合計 {} バイト受信
 Да, はい
Всего {} байта послано,{}バイト送信済み
Всего {} байтов получено,合計 {} バイト受信
Всего {} байтов послано,{}バイト送信済み
Всего записей: {},総エントリ数: {}
Всего отослано: {} ({}/сек),送信合計: {} ({}/秒)
Всего программ: {},合計タイトル数: {}
Вставить,挿入
Вставка...,挿入中...
Всё время. Всего: {} час,全期間。合計: {}時間
Всё время. Всего: {} часа,全期間。合計: {}時間
Всё время. Всего: {} часов,全期間。合計: {}時間
Вы собираетесь удалить следующие бекапы:,次のバックアップを削除しようとしています:
Вы собираетесь удалить следующие игры:,次のゲームを削除しようとしています:
Вы собираетесь удалить следующие сохранения:,次のセーブデータを削除しようとしています:
Вы собираетесь удалить следующие тикеты:,次のチケットを削除しようとしています:
Вы уверены в удалении {} записей?\n\n(+) - ДА   B - Отмена,{}件のエントリを削除してもよろしいですか?\n\n(+) - はい   B - キャンセル
Вы уверены в удалении {} записи?\n\n(+) - ДА   B - Отмена,{}エントリを削除してもよろしいですか?\n\n(+) - はい   B - キャンセル
Вы уверены в удалении {} объекта?\n\n(+) - ДА   B - Отмена,{}個のオブジェクトを削除してもよろしいですか?\n\n(+) - はい   B - キャンセル
Вы уверены в удалении {} объектов?\n\n(+) - ДА   B - Отмена,{}個のオブジェクトを削除してもよろしいですか?\n\n(+) - はい   B - キャンセル
"Вы уверены, что хотите удалить {}?\n\n(+) - ДА, другая кнопка - НЕТ",{}を削除してもよろしいですか?\n\n(+) - はい、他のボタン - いいえ
"Вы уверены, что хотите удалить\n{}?\n\n(+) - ДА  В - Отмена",削除してもよろしいですか\n{}?\n\n(+) - はい  B - キャンセル
Выберите пользователя,ユーザーを選択
Выберите тип сохранения,セーブタイプを選択
Выбрать все файлы игры,すべてのゲームファイルを選択
Выбрать того же пользователя,同じユーザーを選択
Выбрать ту же игру,同じゲームを選択
Вырезать,切り取り
Вычисление хэша,ハッシュを計算中
Вычисленное время конца : {},計算された終了時刻 : {}
Вычисленное время начала: {},計算された開始時刻: {}
Генерация DLC [{:016X}][v{}],DLC生成中 [{:016X}][v{}]
Генерация DLC анлокера...,DLCアンロッカーを生成中...
Генерируется анлокер для {:016X} с номером {} и версией {}...,{:016X} のアンロッカーを番号 {} バージョン {} で生成中...
Генерируется ярлык для пути '{}' и аргументов '{}'...,パス '{}' と引数 '{}' のショートカットを生成中...
Главное меню,メインメニュー
Голландский,オランダ語
"Да, я уверен",はい、確信しています
Дамп анлокера в '{}'...,アンロッカーを'{}'にダンプ中...
Дамп текущей прошивки,現在のファームウェアをダンプ
Дамп ярлыка в '{}'...,ショートカットを'{}'にダンプ中...
Действия с файлами,ファイル操作
Действия с файлами ({}),ファイル操作 ({})
Декабрь,12月
День,日
Диаграмма активности,アクティビティチャート
Для бекапов,バックアップ用
Для выхода нажмите любую кнопку,終了するには任意のボタンを押してください
Для дампов,ダンプ用
Для логов,ログ用
Добавить в любимые,お気に入りに追加
Европа,ヨーロッパ
"Есть несохранёные изменения.\nВы хотите их сохранить?\n\n(+) - Да, сохранить\n\n(-) - Выйти без сохранения\n\nДругая кнопка - Отмена",保存されていない変更があります。\n保存しますか?\n\n(+) - はい、保存する\n\n(-) - 保存せずに終了\n\nその他のボタン - キャンセル
Желаемая версия: {},希望するバージョン: {}
Журнал активности,アクティビティログ
Завершено,完了
Загружается список обновлений...,更新リストを読み込んでいます...
Загрузка изображения...,画像を読み込み中...
Загрузка текста...{}%,テキストを読み込み中...{}%
Загрузка файла... {}%,ファイルを読み込み中... {}%
Задать размер файла {} не удалось: {},ファイルサイズ{}の設定に失敗しました: {}
Закончено за {:02d}:{:02d}:{:02d},{:02d}:{:02d}:{:02d}で完了
Закончилась память при посылке ответа,応答送信時にメモリ不足
Закончились дополнительные буферы. Скорость записи на носитель слишком низка,追加バッファが不足しています。ストレージへの書き込み速度が低すぎます
Закрытие соединения,接続を終了しています
Закрытие соединения к {}:{},{}:{} への接続を切断しています
Запаковать LFS в romfs.bin,LFSをromfs.binにパック
Запаковать в romfs.bin,romfs.binにパック
Запаковка папки в RomFS,フォルダをRomFSにパック中
Записанное время конца  : {},記録された終了時刻  : {}
Записанное время начала : {},記録された開始時刻 : {}
Запись в файл...,ファイルに書き込み中...
Запись за пределами файла,ファイル範囲外への書き込み
Заполнение нулями,ゼロ埋め
Заполнить свободное место на SD нулями,SDの空き領域をゼロで埋める
Запрет захвата видео,ビデオキャプチャを禁止
Запрет скриншотов,スクリーンショット禁止
Запрещено,禁止
Запускавшиеся игры,起動したゲーム
Запустить FTP сервер...,FTPサーバーを起動...
Запустить HTTP сервер...,HTTPサーバーを起動中...
Запустить МТР соединение,MTP接続を開始
Запустить случайную игру,ランダムなゲームを起動
Заряд батареи                  : {},バッテリー残量                 : {}
Здесь пусто,ここには何もありません
Игра анонсирует SDK {},ゲームがSDK {}をアナウンス
"Игра анонсирует более новый SDK ({}), чем текущая прошивка ({})",ゲームは現在のファームウェア ({}) よりも新しい SDK ({}) を要求しています
Игра использует titleId от дополнения,ゲームはDLCのtitleIdを使用しています
Игра использует titleId от обновления,ゲームはアップデートのtitleIdを使用しています
Извлечь в LFS,LFSに展開
Изменение размера сохранения на {} [{}]...,セーブデータを {} [{}] にリサイズ中...
Изменить версию DLC (десятичную),DLCバージョンを変更 (10進数)
Изменить номер DLC (десятичный),DLC番号を変更 (10進数)
Изменить номер DLC (шестнадцатеричный),DLC番号を変更 (16進数)
Изменён размер SaveFS,SaveFSのサイズが変更されました
Импорт исправленного тикета...,修正されたチケットをインポート中...
Импорт тикета...,チケットをインポート中...
"Имя каталога\n'{}'\nсодержит недопустимые символы.\nОн не может быть создан.\n\nНажмите A - прервать, B - пропустить, X - переименовать",ディレクトリ名\n'{}'\nに無効な文字が含まれています。\n作成できません。\n\nAボタン - 中止、Bボタン - スキップ、Xボタン - 名前変更
"Имя файла\n'{}'\nсодержит недопустимые символы.\nОн не может быть создан.\n\nНажмите A - прервать, B - пропустить, X - переименовать",ファイル名\n'{}'\nに無効な文字が含まれています。\n作成できません。\n\nAボタン - 中止、Bボタン - スキップ、Xボタン - 名前変更
Инсталлируется romfs.bin,romfs.binをインストール中
Информация о зарядке батареи,バッテリー充電情報
Информация о контенте,コンテンツ情報
Информация о контенте ({}),コンテンツ情報 ({})
Информация о прошивке,ファームウェア情報
Информация о системе,システム情報
Информация о сохранении,セーブデータ情報
